date,ridership Lakeshore West ALDERSHOT GO PM Peak,total_train_trips Lakeshore West ALDERSHOT GO PM Peak
2022-10-31,494,3
2022-11-01,596,3
2022-11-02,692,3
2022-11-03,613,3
2022-11-04,801,3
2022-11-07,534,3
2022-11-08,894,3
2022-11-09,698,3
2022-11-10,720,3
2022-11-11,842,3
2022-11-14,574,3
2022-11-15,640,3
2022-11-16,596,3
2022-11-17,729,3
2022-11-18,724,3
2022-11-21,551,3
2022-11-22,547,3
2022-11-23,629,3
2022-11-24,657,3
2022-11-25,905,3
2022-11-28,569,3
2022-11-29,614,3
2022-11-30,341,2
2022-12-01,755,3
2022-12-02,806,3
2022-12-05,538,3
2022-12-06,562,3
2022-12-07,699,3
2022-12-08,825,3
2022-12-09,803,3
2022-12-12,618,3
2022-12-13,285,2
2022-12-14,375,2
2022-12-15,530,3
2022-12-16,774,3
2022-12-19,510,3
2022-12-20,819,3
2022-12-21,757,3
2022-12-22,842,3
2022-12-23,386,3
2022-12-28,678,3
2022-12-29,813,3
2022-12-30,798,3
