date,ridership Lakeshore West ALDERSHOT GO,total_train_trips Lakeshore West ALDERSHOT GO
2020-01-26,3858,35
2020-01-27,7185,34
2020-01-28,8176,34
2020-01-29,7668,34
2020-01-30,7802,33
2020-01-31,8673,34
2020-02-01,6639,35
2020-02-02,4127,35
2020-02-03,8062,34
2020-02-04,6838,33
2020-02-05,8085,33
2020-02-06,7789,34
2020-02-07,8905,34
2020-02-08,5815,34
2020-02-09,3590,35
2020-02-10,7863,34
2020-02-11,8122,33
2020-02-12,7542,33
2020-02-13,9324,34
2020-02-14,8680,33
2020-02-15,5960,35
2020-02-16,4618,35
2020-02-17,4688,35
2020-02-18,9157,31
2020-02-19,7949,34
2020-02-20,8836,34
2020-02-21,10799,34
2020-02-22,7896,35
2020-02-23,5776,36
2020-02-24,7038,33
2020-02-25,11206,32
2020-02-26,6716,33
2020-02-27,7441,29
2020-02-28,8076,34
2020-02-29,5708,35
2020-03-01,3553,35
2020-03-02,6926,29
2020-03-03,8112,32
2020-03-04,8275,34
2020-03-05,7522,33
2020-03-06,7862,34
2020-03-07,7946,35
2020-03-08,3679,34
2020-03-09,6945,33
2020-03-10,7683,34
2020-03-11,6859,34
2020-03-12,6348,34
2020-03-13,4716,34
2020-03-14,1980,35
2020-03-15,1369,35
2020-03-16,1993,34
2020-03-17,1280,34
2020-03-18,1760,37
2020-03-19,1486,38
2020-03-20,1252,38
2020-03-21,376,18
2020-03-22,329,18
2020-03-23,960,38
2020-03-24,801,38
2020-03-25,642,38
2020-03-26,595,38
2020-03-27,611,38
2020-03-28,190,18
2020-03-29,182,18
2020-03-30,589,38
2020-03-31,560,37
2020-04-01,551,37
2020-04-02,540,37
2020-04-03,505,36
2020-04-04,187,18
2020-04-05,167,18
2020-04-06,484,37
2020-04-07,444,36
2020-04-08,387,19
2020-04-09,407,19
2020-04-10,161,18
2020-04-11,176,18
2020-04-12,147,18
2020-04-13,336,19
2020-04-14,409,19
2020-04-15,394,19
2020-04-16,388,19
2020-04-17,380,19
2020-04-18,191,17
2020-04-19,141,18
2020-04-20,389,19
2020-04-21,373,19
2020-04-22,399,19
2020-04-23,207,7
2020-04-24,404,19
2020-04-25,231,18
2020-04-26,161,18
2020-04-27,383,19
2020-04-28,386,19
2020-04-29,381,19
2020-04-30,378,19
2020-05-01,443,19
2020-05-02,254,18
2020-05-03,260,18
2020-05-04,431,19
2020-05-05,415,19
2020-05-06,448,19
2020-05-07,412,19
2020-05-08,433,19
2020-05-09,219,18
2020-05-10,250,18
2020-05-11,431,19
2020-05-12,420,19
2020-05-13,463,18
2020-05-14,446,19
2020-05-15,459,19
2020-05-16,417,18
2020-05-17,227,18
2020-05-18,230,18
2020-05-19,542,19
2020-05-20,553,19
2020-05-21,583,19
2020-05-22,614,19
2020-05-23,508,18
2020-05-24,358,18
2020-05-25,641,19
2020-05-26,612,19
2020-05-27,597,19
2020-05-28,574,19
2020-05-29,615,19
2020-05-30,572,18
2020-05-31,531,18
2020-06-01,739,19
2020-06-02,663,18
2020-06-03,651,19
2020-06-04,712,19
2020-06-05,730,19
2020-06-06,680,18
2020-06-07,551,16
2020-06-08,787,19
2020-06-09,771,19
2020-06-10,741,19
2020-06-11,792,19
2020-06-12,891,19
2020-06-13,795,18
2020-06-14,670,18
2020-06-15,872,19
2020-06-16,884,19
2020-06-17,889,19
2020-06-18,937,19
2020-06-19,1036,19
2020-06-20,991,18
2020-06-21,982,18
2020-06-22,970,19
2020-06-23,921,19
2020-06-24,1069,19
2020-06-25,1075,19
2020-06-26,1135,17
