date,ridership Barrie AURORA GO,total_train_trips Barrie AURORA GO
2020-01-24,498,8
2020-01-25,450,8
2020-01-26,367,8
2020-01-27,511,8
2020-01-28,507,8
2020-01-29,538,8
2020-01-30,513,8
2020-01-31,452,6
2020-02-01,467,8
2020-02-02,366,8
2020-02-03,508,8
2020-02-04,489,8
2020-02-05,432,7
2020-02-06,519,8
2020-02-07,508,7
2020-02-08,418,6
2020-02-09,324,8
2020-02-10,470,8
2020-02-11,475,8
2020-02-12,463,7
2020-02-13,564,8
2020-02-14,426,5
2020-02-15,113,3
2020-02-16,343,8
2020-02-17,447,8
2020-02-18,421,8
2020-02-19,405,8
2020-02-20,453,8
2020-02-21,558,8
2020-02-22,558,8
2020-02-23,434,8
2020-02-24,447,8
2020-02-25,474,7
2020-02-26,480,8
2020-02-27,490,8
2020-02-28,383,7
2020-02-29,435,8
2020-03-01,270,8
2020-03-02,454,8
2020-03-03,469,8
2020-03-04,519,8
2020-03-05,452,8
2020-03-06,432,8
2020-03-07,509,8
2020-03-08,326,8
2020-03-09,449,8
2020-03-10,454,8
2020-03-11,437,7
2020-03-12,398,8
2020-03-13,278,8
2020-03-14,155,8
2020-03-15,128,8
2020-03-16,109,8
2020-03-17,75,8
2020-03-18,90,10
2020-03-19,65,10
2020-03-20,69,11
2020-03-21,23,8
2020-03-22,31,8
2020-03-23,48,10
2020-03-24,32,10
2020-03-25,27,9
2020-03-26,31,9
2020-03-27,37,10
2020-03-28,19,6
2020-03-29,21,7
2020-03-30,26,10
2020-03-31,31,10
2020-04-01,37,10
2020-04-02,31,10
2020-04-03,34,10
2020-04-04,10,8
2020-04-05,14,7
2020-04-06,25,8
2020-04-07,26,10
2020-04-08,26,10
2020-04-09,35,10
2020-04-10,14,7
2020-04-11,14,8
2020-04-12,16,8
2020-04-13,16,8
2020-04-14,26,9
2020-04-15,28,10
2020-04-16,30,9
2020-04-17,35,10
2020-04-18,15,7
2020-04-19,14,7
2020-04-20,35,10
2020-04-21,27,10
2020-04-22,31,10
2020-04-23,31,10
2020-04-24,36,10
2020-04-25,19,7
2020-04-26,13,7
2020-04-27,34,10
2020-04-28,28,10
2020-04-29,33,10
2020-04-30,28,9
2020-05-01,39,10
2020-05-02,27,8
2020-05-03,28,8
2020-05-04,32,9
2020-05-05,45,10
2020-05-06,33,10
2020-05-07,23,8
2020-05-08,34,10
2020-05-09,21,7
2020-05-10,21,8
2020-05-11,36,10
2020-05-12,39,10
2020-05-13,8,3
2020-05-14,10,3
2020-05-15,17,3
