date,ridership Lakeshore West ALDERSHOT GO Midday,total_train_trips Lakeshore West ALDERSHOT GO Midday
2020-12-24,349,11
2020-12-28,224,6
2020-12-29,355,12
2020-12-30,340,12
2020-12-31,322,12
2021-01-04,382,12
2021-01-05,404,12
2021-01-06,480,12
2021-01-07,400,12
2021-01-08,389,12
2021-01-11,398,12
2021-01-12,376,12
2021-01-13,386,12
2021-01-14,328,12
2021-01-15,320,12
2021-01-18,340,12
2021-01-19,354,12
2021-01-20,346,12
2021-01-21,349,12
2021-01-22,341,12
2021-01-25,361,12
2021-01-26,359,12
2021-01-27,364,12
2021-01-28,361,12
2021-01-29,396,12
2021-02-01,375,12
2021-02-02,343,12
2021-02-03,378,12
2021-02-04,399,12
2021-02-05,380,12
2021-02-08,401,12
2021-02-09,370,12
2021-02-10,388,12
2021-02-11,361,11
2021-02-12,391,12
2021-02-16,384,12
2021-02-17,423,12
2021-02-18,448,12
2021-02-19,444,12
2021-02-22,427,12
2021-02-23,416,12
2021-02-24,441,12
2021-02-25,441,12
2021-02-26,469,12
2021-03-01,448,12
2021-03-02,459,12
2021-03-03,479,12
2021-03-04,447,12
2021-03-05,441,12
2021-03-08,509,12
2021-03-09,528,12
2021-03-10,541,12
2021-03-11,514,12
2021-03-12,528,12
2021-03-15,484,11
2021-03-16,500,11
2021-03-17,518,12
2021-03-18,541,12
2021-03-19,578,12
2021-03-22,520,12
2021-03-23,532,12
2021-03-24,543,12
2021-03-25,587,12
2021-03-26,506,12
2021-03-29,539,12
2021-03-30,567,12
2021-03-31,508,12
2021-04-01,559,12
2021-04-05,453,12
2021-04-06,510,12
2021-04-07,500,12
2021-04-08,448,12
2021-04-09,441,12
2021-04-12,400,12
2021-04-13,382,12
2021-04-14,407,12
2021-04-15,391,12
2021-04-16,385,12
2021-04-19,363,12
2021-04-20,350,12
2021-04-21,339,12
2021-04-22,371,12
2021-04-23,387,12
2021-04-26,362,12
2021-04-27,376,12
2021-04-28,369,12
2021-04-29,370,12
2021-04-30,401,12
2021-05-03,366,12
2021-05-04,369,12
2021-05-05,379,12
2021-05-06,395,12
2021-05-07,385,12
2021-05-10,440,12
2021-05-11,409,12
2021-05-12,458,12
2021-05-13,406,12
2021-05-14,438,12
2021-05-17,419,12
2021-05-18,425,12
2021-05-19,469,12
2021-05-20,471,12
2021-05-21,475,12
2021-05-25,493,12
2021-05-26,460,12
2021-05-27,496,12
2021-05-28,434,12
2021-05-31,482,12
2021-06-01,508,12
2021-06-02,499,12
2021-06-03,490,12
2021-06-04,639,12
2021-06-07,528,12
2021-06-08,510,12
2021-06-09,540,12
2021-06-10,559,12
2021-06-11,662,12
2021-06-14,558,12
2021-06-15,636,12
2021-06-16,660,12
2021-06-17,703,12
2021-06-18,601,12
2021-06-21,604,12
2021-06-22,683,12
2021-06-23,731,12
2021-06-24,711,12
2021-06-25,749,12
2021-06-28,721,12
2021-06-29,718,12
2021-06-30,793,12
2021-07-02,740,12
2021-07-05,775,12
2021-07-06,768,12
2021-07-07,795,12
2021-07-08,712,12
2021-07-09,871,12
2021-07-12,858,12
2021-07-13,813,12
2021-07-14,908,12
2021-07-15,930,12
2021-07-16,964,12
2021-07-19,871,12
2021-07-20,823,12
2021-07-21,1069,12
2021-07-22,1042,12
2021-07-23,1281,8
2021-07-26,928,12
2021-07-27,963,12
2021-07-28,1190,12
2021-07-29,1005,12
2021-07-30,1357,12
2021-08-03,1154,11
2021-08-04,1260,12
2021-08-05,1245,11
2021-08-06,1360,12
2021-08-09,458,6
2021-08-10,457,6
2021-08-11,477,6
2021-08-12,573,6
2021-08-13,543,6
2021-08-16,518,6
2021-08-17,504,6
2021-08-18,558,6
2021-08-19,566,6
2021-08-20,625,6
2021-08-23,510,6
2021-08-24,582,6
2021-08-25,577,6
2021-08-26,776,6
2021-08-27,567,6
2021-08-30,567,6
2021-08-31,594,6
2021-09-01,612,6
2021-09-02,626,6
2021-09-03,647,6
2021-09-07,445,6
2021-09-08,438,6
2021-09-09,502,6
2021-09-10,426,6
2021-09-13,436,6
2021-09-14,442,6
2021-09-15,638,6
2021-09-16,454,6
2021-09-17,486,6
2021-09-20,428,6
2021-09-21,448,6
2021-09-22,399,6
2021-09-23,434,6
2021-09-24,489,6
2021-09-27,467,6
2021-09-28,512,6
2021-09-29,619,6
2021-09-30,497,6
2021-10-01,497,6
2021-10-04,388,6
2021-10-05,456,6
2021-10-06,466,6
2021-10-07,551,6
2021-10-08,491,6
2021-10-12,561,6
2021-10-13,528,6
2021-10-14,491,5
2021-10-15,504,6
2021-10-18,440,6
2021-10-19,468,6
2021-10-20,513,6
2021-10-21,454,6
2021-10-22,515,6
2021-10-25,428,6
2021-10-26,456,6
2021-10-27,580,6
2021-10-28,572,6
2021-10-29,446,6
2021-11-01,440,6
2021-11-02,511,6
2021-11-03,517,6
2021-11-04,534,6
2021-11-05,508,6
2021-11-08,460,6
2021-11-09,445,6
2021-11-10,520,6
2021-11-11,515,6
2021-11-12,534,6
2021-11-15,419,6
2021-11-16,493,6
2021-11-17,550,6
2021-11-18,522,6
2021-11-19,535,6
2021-11-22,437,6
2021-11-23,505,6
2021-11-24,546,6
2021-11-25,589,6
2021-11-26,646,6
2021-11-29,709,6
2021-11-30,782,6
2021-12-01,840,6
2021-12-02,811,6
2021-12-03,775,6
2021-12-06,460,6
2021-12-07,527,6
2021-12-08,623,6
2021-12-09,532,6
2021-12-10,543,6
2021-12-13,420,6
2021-12-14,510,6
2021-12-15,526,6
2021-12-16,504,6
2021-12-17,517,6
2021-12-20,373,6
2021-12-21,426,6
2021-12-22,401,6
2021-12-23,350,6
2021-12-24,213,6
2021-12-29,363,6
2021-12-30,322,6
2021-12-31,252,6
2022-01-04,220,6
2022-01-05,187,6
2022-01-06,202,6
2022-01-07,192,6
2022-01-10,194,6
2022-01-11,173,6
2022-01-12,204,6
2022-01-13,217,6
2022-01-14,214,6
2022-01-17,98,6
2022-01-18,272,6
2022-01-19,312,6
2022-01-20,305,6
2022-01-21,290,6
2022-01-24,322,6
2022-01-25,305,6
2022-01-26,307,6
2022-01-27,353,6
2022-01-28,339,6
2022-01-31,396,6
2022-02-01,454,6
2022-02-02,473,6
2022-02-03,381,6
2022-02-04,388,6
2022-02-07,482,6
2022-02-08,506,6
2022-02-09,493,6
2022-02-10,559,6
2022-02-11,463,6
2022-02-14,508,6
2022-02-15,536,6
2022-02-16,584,6
2022-02-17,549,6
2022-02-18,528,6
2022-02-22,580,6
2022-02-23,660,6
2022-02-24,673,6
2022-02-25,560,6
2022-02-28,655,6
2022-03-01,738,6
2022-03-02,747,6
2022-03-03,740,6
2022-03-04,699,6
2022-03-07,708,6
2022-03-08,823,6
2022-03-09,877,6
2022-03-10,893,6
2022-03-11,758,6
2022-03-14,879,6
2022-03-15,924,6
2022-03-16,1067,6
2022-03-17,1280,6
2022-03-18,1049,6
2022-03-21,769,6
2022-03-22,899,6
2022-03-23,870,6
2022-03-24,977,6
2022-03-25,850,6
2022-03-28,750,6
2022-03-29,1025,6
2022-03-30,930,6
2022-03-31,1002,6
2022-04-01,786,6
2022-04-04,820,6
2022-04-05,932,6
2022-04-06,1025,6
2022-04-07,1042,6
2022-04-08,895,6
2022-04-11,788,6
2022-04-12,1012,6
2022-04-13,977,6
2022-04-14,974,6
2022-04-18,793,6
2022-04-19,978,6
2022-04-20,1061,6
2022-04-21,985,6
2022-04-22,895,6
2022-04-25,879,6
2022-04-26,1036,6
2022-04-27,1107,6
2022-04-28,1414,6
2022-04-29,990,6
2022-05-02,953,6
2022-05-03,1009,6
2022-05-04,1164,6
2022-05-05,1189,6
2022-05-06,952,6
2022-05-09,1033,6
2022-05-10,1207,6
2022-05-11,1292,6
2022-05-12,1269,6
2022-05-13,978,6
2022-05-16,949,6
2022-05-17,1241,6
2022-05-18,1325,6
2022-05-19,1248,6
2022-05-20,976,6
2022-05-24,1250,6
2022-05-25,1360,6
2022-05-26,1292,6
2022-05-27,950,6
2022-05-30,1001,6
2022-05-31,1317,6
2022-06-01,1374,6
2022-06-02,1624,6
2022-06-03,1098,6
2022-06-06,1072,6
2022-06-07,1354,6
2022-06-08,1618,6
2022-06-09,1349,6
2022-06-10,1162,6
2022-06-13,1316,6
2022-06-14,1529,6
2022-06-15,1660,6
2022-06-16,2120,6
2022-06-17,1277,6
2022-06-20,1183,6
2022-06-21,1648,6
2022-06-22,1866,6
2022-06-23,1841,6
2022-06-24,1271,6
2022-06-27,1258,6
2022-06-28,1678,6
2022-06-29,1647,6
2022-06-30,1423,6
2022-07-04,1129,6
2022-07-05,1285,6
