date,ridership Barrie ALLANDALE WATERFRONT GO,total_train_trips Barrie ALLANDALE WATERFRONT GO
2020-02-12,6263,7
2020-02-13,6037,7
2020-02-14,4549,7
2020-02-15,609,5
2020-02-16,502,5
2020-02-17,658,5
2020-02-18,6064,7
2020-02-19,6040,7
2020-02-20,5929,7
2020-02-21,4799,7
2020-02-22,740,5
2020-02-23,618,5
2020-02-24,6277,7
2020-02-25,6322,7
2020-02-26,5769,7
2020-02-27,5047,7
2020-02-28,5032,7
2020-02-29,554,5
2020-03-01,440,5
2020-03-02,6260,7
2020-03-03,6299,7
2020-03-04,6184,7
2020-03-05,5912,7
2020-03-06,5079,7
2020-03-07,476,5
2020-03-08,404,5
2020-03-09,5784,7
2020-03-10,5900,7
2020-03-11,5553,7
2020-03-12,4958,7
2020-03-13,3379,7
2020-03-14,217,5
2020-03-15,180,5
2020-03-16,1570,7
2020-03-17,896,7
2020-03-18,594,5
2020-03-19,458,5
2020-03-20,372,5
2020-03-21,35,5
2020-03-22,39,5
2020-03-23,299,5
2020-03-24,252,5
2020-03-25,198,5
2020-03-26,195,5
2020-03-27,165,5
2020-03-28,21,5
2020-03-29,18,5
2020-03-30,176,5
2020-03-31,169,5
2020-04-01,155,5
2020-04-02,161,5
2020-04-03,130,5
2020-04-04,17,5
2020-04-05,17,5
2020-04-06,136,5
2020-04-07,145,5
2020-04-08,121,3
2020-04-09,123,3
2020-04-10,18,5
2020-04-11,13,5
2020-04-12,19,5
2020-04-13,88,3
2020-04-14,117,3
2020-04-15,114,3
2020-04-16,117,3
2020-04-17,103,3
2020-04-18,15,5
2020-04-19,16,5
2020-04-20,115,3
2020-04-21,116,3
2020-04-22,118,3
2020-04-23,124,3
2020-04-24,97,3
2020-04-25,20,5
2020-04-26,33,5
2020-04-27,112,3
2020-04-28,122,3
2020-04-29,117,3
2020-04-30,113,3
2020-05-01,110,3
2020-05-02,15,5
2020-05-03,29,4
2020-05-04,119,3
2020-05-05,121,3
2020-05-06,119,3
2020-05-07,117,3
2020-05-08,82,3
2020-05-09,19,5
2020-05-10,29,5
2020-05-11,115,3
2020-05-12,139,3
2020-05-13,127,3
2020-05-14,120,3
2020-05-15,111,3
2020-05-19,152,3
2020-05-20,134,3
2020-05-21,136,3
2020-05-22,117,3
2020-05-25,142,3
2020-05-26,154,3
2020-05-27,142,3
2020-05-28,139,3
2020-05-29,126,3
2020-06-01,155,3
2020-06-02,147,3
2020-06-03,153,3
2020-06-04,144,3
2020-06-05,138,3
2020-06-08,175,3
2020-06-09,182,3
2020-06-10,159,3
2020-06-11,156,3
2020-06-12,140,3
2020-06-15,182,3
2020-06-16,166,3
2020-06-17,153,3
2020-06-18,116,3
2020-06-19,106,3
2020-06-22,115,3
2020-06-23,100,3
2020-06-24,93,3
2020-06-25,87,3
2020-06-26,93,3
2020-06-29,141,3
2020-06-30,115,3
2020-07-02,115,3
2020-07-03,96,3
2020-07-06,148,3
2020-07-07,128,3
2020-07-08,128,3
2020-07-09,120,3
2020-07-10,101,3
2020-07-13,143,3
2020-07-14,132,3
2020-07-15,139,3
2020-07-16,141,3
2020-07-17,113,3
2020-07-20,145,3
2020-07-21,141,3
2020-07-22,134,3
2020-07-23,135,3
2020-07-24,121,3
2020-07-27,152,3
2020-07-28,141,3
2020-07-29,131,3
2020-07-30,138,3
2020-07-31,113,3
2020-08-04,148,3
2020-08-05,150,3
2020-08-06,145,3
2020-08-07,130,3
2020-08-10,183,3
2020-08-11,166,3
2020-08-12,389,3
2020-08-13,366,3
2020-08-14,310,3
2020-08-17,403,3
2020-08-18,417,3
2020-08-19,412,3
2020-08-20,397,3
2020-08-21,321,3
2020-08-24,405,3
2020-08-25,440,3
2020-08-26,408,3
2020-08-27,410,3
2020-08-28,320,3
2020-08-31,396,3
2020-09-01,440,3
2020-09-02,419,3
2020-09-03,438,3
2020-09-04,341,3
2020-09-08,511,5
2020-09-09,463,5
2020-09-10,459,5
2020-09-11,420,5
2020-09-12,151,5
2020-09-13,184,5
2020-09-14,474,5
2020-09-15,491,5
2020-09-16,488,5
2020-09-17,488,5
2020-09-18,407,5
2020-09-19,119,4
2020-09-20,182,5
2020-09-21,502,5
2020-09-22,492,5
2020-09-23,491,5
2020-09-24,487,5
2020-09-25,437,5
2020-09-26,160,5
2020-09-27,191,5
2020-09-28,475,5
2020-09-29,494,5
2020-09-30,457,5
2020-10-01,481,5
2020-10-02,396,5
2020-10-03,135,5
2020-10-04,132,5
2020-10-05,477,5
2020-10-06,469,5
2020-10-07,465,5
2020-10-08,486,5
2020-10-09,387,5
2020-10-10,118,5
2020-10-11,126,5
2020-10-12,253,5
2020-10-13,491,5
2020-10-14,461,5
2020-10-15,473,5
2020-10-16,383,5
2020-10-17,117,5
2020-10-18,121,5
2020-10-19,432,5
2020-10-20,469,5
2020-10-21,434,5
2020-10-22,443,5
2020-10-23,374,5
2020-10-24,122,5
2020-10-25,139,5
2020-10-26,445,5
2020-10-27,459,5
2020-10-28,472,5
2020-10-29,459,5
2020-10-30,407,5
2020-10-31,143,5
2020-11-01,163,5
2020-11-02,477,5
2020-11-03,479,5
2020-11-04,451,5
2020-11-05,483,5
2020-11-06,423,5
2020-11-07,141,5
2020-11-08,152,5
2020-11-09,464,5
2020-11-10,486,5
2020-11-11,409,5
2020-11-12,475,5
2020-11-13,402,5
2020-11-14,115,5
2020-11-15,117,5
2020-11-16,417,5
2020-11-17,451,5
2020-11-18,424,5
2020-11-19,454,5
2020-11-20,374,5
2020-11-21,97,5
2020-11-22,143,5
2020-11-23,381,5
2020-11-24,390,5
2020-11-25,387,5
2020-11-26,360,5
2020-11-27,321,5
2020-11-30,388,5
2020-12-01,405,5
2020-12-02,388,5
2020-12-03,379,5
2020-12-04,334,5
2020-12-07,392,5
2020-12-08,371,5
2020-12-09,402,5
2020-12-10,383,5
2020-12-11,338,5
2020-12-12,56,5
2020-12-13,52,4
2020-12-14,360,5
2020-12-15,391,5
2020-12-16,368,5
2020-12-17,373,5
2020-12-18,308,5
2020-12-19,71,5
2020-12-20,70,5
2020-12-21,297,5
2020-12-22,285,5
2020-12-23,257,5
2020-12-24,136,5
2020-12-25,49,5
2020-12-26,113,5
2020-12-27,79,4
2020-12-28,93,5
2020-12-29,192,5
2020-12-30,188,5
2020-12-31,130,5
2021-01-01,58,5
2021-01-02,73,5
2021-01-03,78,5
2021-01-04,307,5
2021-01-05,321,5
2021-01-06,303,5
2021-01-07,299,5
2021-01-08,291,5
2021-01-09,66,5
2021-01-10,64,5
2021-01-11,326,5
2021-01-12,342,5
2021-01-13,329,5
2021-01-14,287,5
2021-01-15,244,5
2021-01-16,51,5
2021-01-17,56,5
2021-01-18,261,5
2021-01-19,287,5
2021-01-20,268,5
2021-01-21,268,5
2021-01-22,256,5
2021-01-25,282,4
2021-01-26,291,4
2021-01-27,290,4
2021-01-28,253,4
2021-01-29,246,4
2021-02-01,282,4
2021-02-02,276,4
2021-02-03,268,4
2021-02-04,278,4
2021-02-05,258,4
2021-02-08,273,4
2021-02-09,277,4
2021-02-10,265,4
2021-02-11,263,4
2021-02-12,241,4
2021-02-16,279,4
2021-02-17,293,4
2021-02-18,305,4
2021-02-19,245,4
2021-02-22,315,4
2021-02-23,296,4
2021-02-24,305,4
2021-02-25,320,4
2021-02-26,285,4
2021-03-01,303,4
2021-03-02,308,4
2021-03-03,308,4
2021-03-04,300,4
2021-03-05,264,4
2021-03-08,329,4
2021-03-09,375,4
2021-03-10,331,4
2021-03-11,352,4
2021-03-12,304,4
2021-03-15,339,4
2021-03-16,362,4
2021-03-17,333,4
2021-03-18,332,4
2021-03-19,283,4
2021-03-22,345,4
2021-03-23,339,4
2021-03-24,350,4
2021-03-25,341,4
2021-03-26,284,4
2021-03-29,350,4
2021-03-30,351,4
2021-03-31,325,4
2021-04-01,325,4
2021-04-05,229,4
2021-04-06,343,4
2021-04-07,315,4
2021-04-08,293,4
2021-04-09,259,4
2021-04-12,286,4
2021-04-13,280,4
2021-04-14,281,4
2021-04-15,265,4
2021-04-16,232,4
2021-04-19,265,4
2021-04-20,265,4
2021-04-21,257,4
2021-04-22,251,4
2021-04-23,223,4
2021-04-26,260,4
2021-04-27,268,4
2021-04-28,261,4
2021-04-29,264,4
2021-04-30,227,4
2021-05-03,275,4
2021-05-04,288,4
2021-05-05,275,4
2021-05-06,280,4
2021-05-07,244,4
2021-05-10,294,4
2021-05-11,289,4
2021-05-12,270,4
2021-05-13,307,4
2021-05-14,254,4
2021-05-17,299,4
2021-05-18,296,4
2021-05-19,288,4
2021-05-20,262,3
2021-05-21,250,4
2021-05-25,332,4
2021-05-26,311,4
2021-05-27,317,4
2021-05-28,264,4
2021-05-31,309,4
2021-06-01,329,4
2021-06-02,334,4
2021-06-03,330,4
2021-06-04,284,4
2021-06-07,352,4
2021-06-08,350,4
2021-06-09,372,4
2021-06-10,369,4
2021-06-11,309,4
2021-06-14,338,4
2021-06-15,397,4
2021-06-16,377,4
2021-06-17,401,4
2021-06-18,321,4
2021-06-21,407,4
2021-06-22,405,4
2021-06-23,396,4
2021-06-24,401,4
2021-06-25,347,3
