date,ridership Richmond Hill UNION STATION,total_train_trips Richmond Hill UNION STATION
2021-07-21,188,4
2021-07-22,171,4
2021-07-23,139,4
2021-07-26,164,4
2021-07-27,179,4
2021-07-28,190,4
2021-07-29,178,4
2021-07-30,145,4
2021-08-03,177,4
2021-08-04,178,4
2021-08-05,196,4
2021-08-06,147,4
2021-08-09,171,4
2021-08-10,189,4
2021-08-11,198,4
2021-08-12,195,4
2021-08-13,149,4
2021-08-16,194,4
2021-08-17,198,4
2021-08-18,191,4
2021-08-19,211,4
2021-08-20,163,4
2021-08-23,182,4
2021-08-24,203,4
2021-08-25,198,4
2021-08-26,208,4
2021-08-27,178,4
2021-08-30,201,4
2021-08-31,220,4
2021-09-01,218,4
2021-09-02,197,4
2021-09-03,143,4
2021-09-07,249,6
2021-09-08,210,6
2021-09-09,275,6
2021-09-10,223,6
2021-09-13,285,6
2021-09-14,311,6
2021-09-15,339,6
2021-09-16,291,6
2021-09-17,241,6
2021-09-20,277,6
2021-09-21,324,6
2021-09-22,295,6
2021-09-23,290,6
2021-09-24,236,6
2021-09-27,294,6
2021-09-28,340,6
2021-09-29,322,6
2021-09-30,283,6
2021-10-01,255,6
2021-10-04,322,6
2021-10-05,355,6
2021-10-06,353,6
2021-10-07,362,6
2021-10-08,249,6
2021-10-12,368,6
2021-10-13,365,6
2021-10-14,362,6
2021-10-15,267,6
2021-10-18,348,6
2021-10-19,397,6
2021-10-20,391,6
2021-10-21,399,6
2021-10-22,285,6
2021-10-25,332,6
2021-10-26,398,6
2021-10-27,406,6
2021-10-28,422,6
2021-10-29,263,6
2021-11-01,389,6
2021-11-02,437,6
2021-11-03,432,6
2021-11-04,425,6
2021-11-05,279,6
2021-11-08,374,6
2021-11-09,442,6
2021-11-10,442,6
2021-11-11,359,6
2021-11-12,277,6
2021-11-15,398,6
2021-11-16,483,6
2021-11-17,475,6
2021-11-18,454,6
2021-11-19,327,6
2021-11-22,388,6
2021-11-23,494,6
2021-11-24,479,6
2021-11-25,450,6
2021-11-26,306,6
2021-11-29,405,6
2021-11-30,436,6
2021-12-01,446,6
2021-12-02,453,6
2021-12-03,327,6
2021-12-06,374,6
2021-12-07,459,6
2021-12-08,429,6
2021-12-09,419,6
2021-12-10,317,6
2021-12-13,346,6
2021-12-14,383,6
2021-12-15,354,6
2021-12-16,305,6
2021-12-17,217,6
2021-12-20,181,6
2021-12-21,197,6
2021-12-22,163,6
2021-12-23,117,6
2021-12-24,77,6
2021-12-29,91,6
2021-12-30,87,6
2021-12-31,53,6
2022-01-04,120,6
2022-01-05,131,6
2022-01-06,129,6
2022-01-07,104,6
2022-01-10,119,4
2022-01-11,91,4
2022-01-12,122,4
2022-01-13,121,4
2022-01-14,115,4
2022-01-17,59,3
2022-01-18,115,4
2022-01-19,155,4
2022-01-20,141,4
2022-01-21,133,4
2022-01-24,146,4
2022-01-25,157,4
2022-01-26,164,4
2022-01-27,155,4
2022-01-28,135,4
2022-01-31,156,4
2022-02-01,170,4
2022-02-02,190,4
2022-02-03,163,4
2022-02-04,166,4
2022-02-07,225,4
2022-02-08,245,4
2022-02-09,241,4
2022-02-10,252,4
2022-02-11,207,4
2022-02-14,225,4
2022-02-15,277,4
2022-02-16,290,4
2022-02-17,228,4
2022-02-18,188,4
2022-02-22,267,4
2022-02-23,288,4
2022-02-24,274,4
2022-02-25,213,4
2022-02-28,257,4
2022-03-01,387,4
2022-03-02,365,4
2022-03-03,356,4
2022-03-04,279,4
2022-03-07,328,4
2022-03-08,411,4
2022-03-09,441,4
2022-03-10,397,4
2022-03-11,262,4
2022-03-14,328,4
2022-03-15,380,4
2022-03-16,384,4
2022-03-17,386,4
2022-03-18,278,4
2022-03-21,373,4
2022-03-22,489,4
2022-03-23,445,4
2022-03-24,451,4
2022-03-25,306,4
2022-03-28,395,4
2022-03-29,531,4
2022-03-30,532,4
2022-03-31,468,4
2022-04-01,319,4
2022-04-04,476,4
2022-04-05,618,4
2022-04-06,591,4
2022-04-07,550,4
2022-04-08,353,4
2022-04-11,490,4
