date,ridership Barrie,total_train_trips Barrie
2020-05-29,300,12
2020-06-01,350,12
2020-06-02,331,10
2020-06-03,365,11
2020-06-04,376,12
2020-06-05,348,12
2020-06-08,416,12
2020-06-09,427,12
2020-06-10,389,12
2020-06-11,397,12
2020-06-12,403,12
2020-06-15,457,12
2020-06-16,425,12
2020-06-17,413,12
2020-06-18,410,12
2020-06-19,408,12
2020-06-22,393,12
2020-06-23,376,10
2020-06-24,375,12
2020-06-25,386,12
2020-06-26,412,12
2020-06-29,469,12
2020-06-30,482,12
2020-07-02,455,12
2020-07-03,415,12
2020-07-06,476,12
2020-07-07,469,12
2020-07-08,196,6
2020-07-09,481,12
2020-07-10,443,12
2020-07-13,493,12
2020-07-14,526,12
2020-07-15,507,12
2020-07-16,504,12
2020-07-17,491,12
2020-07-20,443,12
2020-07-21,442,12
2020-07-22,427,12
2020-07-23,445,12
2020-07-24,479,12
2020-07-27,449,12
2020-07-28,438,12
2020-07-29,450,12
2020-07-30,529,12
2020-07-31,515,12
2020-08-04,444,12
2020-08-05,484,12
2020-08-06,507,12
2020-08-07,527,12
2020-08-10,530,12
2020-08-11,526,12
2020-08-12,879,12
2020-08-13,916,12
2020-08-14,818,12
2020-08-17,880,12
2020-08-18,935,12
2020-08-19,941,12
2020-08-20,1003,12
2020-08-21,905,12
2020-08-24,922,12
2020-08-25,1009,12
2020-08-26,978,12
2020-08-27,989,12
2020-08-28,876,12
2020-08-31,945,12
2020-09-01,1021,12
2020-09-02,969,12
2020-09-03,1087,12
2020-09-04,980,12
2020-09-08,1362,29
2020-09-09,1340,29
2020-09-10,1336,29
2020-09-11,1432,29
2020-09-12,595,29
2020-09-13,509,29
2020-09-14,1313,29
2020-09-15,1341,29
2020-09-16,1396,29
2020-09-17,1408,29
2020-09-18,1346,28
2020-09-19,552,27
2020-09-20,535,29
2020-09-21,1332,29
2020-09-22,1393,29
2020-09-23,1360,29
2020-09-24,1415,29
2020-09-25,1352,29
2020-09-26,630,29
2020-09-27,574,29
2020-09-28,1284,29
2020-09-29,1363,29
2020-09-30,1289,29
2020-10-01,1373,29
2020-10-02,1244,29
2020-10-03,527,29
2020-10-04,391,29
2020-10-05,1262,29
2020-10-06,1274,29
2020-10-07,1294,29
2020-10-08,1405,29
2020-10-09,1347,29
2020-10-10,591,29
2020-10-11,490,29
2020-10-12,544,29
2020-10-13,1310,29
2020-10-14,1283,29
2020-10-15,1315,29
2020-10-16,1173,29
2020-10-17,473,29
2020-10-18,349,29
2020-10-19,1216,29
2020-10-20,1264,29
2020-10-21,1181,29
2020-10-22,1227,29
2020-10-23,1198,29
2020-10-24,480,29
2020-10-25,417,29
2020-10-26,1195,29
2020-10-27,1252,29
2020-10-28,1324,29
2020-10-29,1291,29
2020-10-30,1236,29
2020-10-31,543,29
2020-11-01,429,29
2020-11-02,1276,29
2020-11-03,1311,29
2020-11-04,1223,23
2020-11-05,1323,29
2020-11-06,1273,28
2020-11-07,547,29
2020-11-08,504,29
2020-11-09,1248,29
2020-11-10,1345,27
2020-11-11,1146,29
2020-11-12,1326,29
2020-11-13,1251,29
2020-11-14,465,29
2020-11-15,371,29
2020-11-16,1175,29
2020-11-17,1226,29
2020-11-18,1186,29
2020-11-19,1257,29
2020-11-20,1182,29
2020-11-21,392,28
2020-11-22,396,28
2020-11-23,1053,29
2020-11-24,1090,29
2020-11-25,1077,29
2020-11-26,1095,29
2020-11-27,1036,29
2020-11-30,1064,29
2020-12-01,1110,29
2020-12-02,1090,29
