date,ridership Milton MILTON GO,total_train_trips Milton MILTON GO
2020-05-19,137,4
2020-05-20,136,4
2020-05-21,115,4
2020-05-22,101,4
2020-05-25,118,4
2020-05-26,102,4
2020-05-27,99,4
2020-05-28,98,4
2020-05-29,92,4
2020-06-01,111,4
2020-06-02,116,4
2020-06-03,107,4
2020-06-04,122,4
2020-06-05,102,4
2020-06-08,114,4
2020-06-09,123,4
2020-06-10,125,4
2020-06-11,133,4
2020-06-12,112,4
2020-06-15,147,4
2020-06-16,136,4
2020-06-17,134,4
2020-06-18,142,4
2020-06-19,120,4
2020-06-22,146,4
2020-06-23,153,4
2020-06-24,121,4
2020-06-25,123,4
2020-06-26,111,4
2020-06-29,137,4
2020-06-30,139,4
2020-07-02,138,4
2020-07-03,122,4
2020-07-06,157,4
2020-07-07,168,4
2020-07-08,160,4
2020-07-09,164,4
2020-07-10,145,4
2020-07-13,162,4
2020-07-14,168,4
2020-07-15,177,4
2020-07-16,179,4
2020-07-17,156,4
2020-07-20,173,4
2020-07-21,178,4
2020-07-22,165,4
2020-07-23,189,4
2020-07-24,151,4
2020-07-27,182,4
2020-07-28,194,4
2020-07-29,194,4
2020-07-30,206,4
2020-07-31,149,4
2020-08-04,220,4
2020-08-05,220,4
2020-08-06,234,4
2020-08-07,178,4
2020-08-10,221,4
2020-08-11,242,4
2020-08-12,394,4
2020-08-13,417,4
2020-08-14,344,4
2020-08-17,397,4
2020-08-18,436,4
2020-08-19,417,4
2020-08-20,420,4
2020-08-21,357,4
2020-08-24,419,4
2020-08-25,436,4
2020-08-26,445,4
2020-08-27,451,4
2020-08-28,389,4
2020-08-31,432,4
2020-09-01,462,4
2020-09-02,469,4
2020-09-03,477,4
2020-09-04,369,4
2020-09-08,535,5
2020-09-09,540,5
2020-09-10,535,5
2020-09-11,466,5
2020-09-14,552,5
2020-09-15,590,5
2020-09-16,555,5
2020-09-17,571,5
2020-09-18,470,5
2020-09-21,525,5
2020-09-22,582,5
2020-09-23,604,5
2020-09-24,570,5
2020-09-25,492,5
2020-09-28,554,5
2020-09-29,573,5
2020-09-30,565,5
2020-10-01,563,5
2020-10-02,495,5
2020-10-05,527,5
2020-10-06,570,5
2020-10-07,556,5
2020-10-08,552,5
2020-10-09,469,5
2020-10-13,518,5
2020-10-14,506,5
2020-10-15,500,5
2020-10-16,450,5
2020-10-19,489,5
2020-10-20,528,5
2020-10-21,521,5
2020-10-22,518,5
2020-10-23,448,5
2020-10-26,515,5
2020-10-27,543,5
2020-10-28,543,5
2020-10-29,537,5
2020-10-30,485,5
2020-11-02,522,5
2020-11-03,556,5
2020-11-04,554,5
2020-11-05,553,5
2020-11-06,484,5
2020-11-09,520,5
2020-11-10,564,5
2020-11-11,420,5
2020-11-12,525,5
2020-11-13,453,5
2020-11-16,509,5
2020-11-17,568,5
2020-11-18,525,5
2020-11-19,509,5
2020-11-20,488,5
2020-11-23,439,5
2020-11-24,469,5
2020-11-25,458,5
2020-11-26,453,5
2020-11-27,405,5
2020-11-30,453,5
2020-12-01,482,5
2020-12-02,489,5
2020-12-03,469,5
2020-12-04,400,5
2020-12-07,438,5
2020-12-08,460,5
2020-12-09,481,5
2020-12-10,464,5
2020-12-11,412,5
2020-12-14,426,5
2020-12-15,462,5
2020-12-16,472,5
2020-12-17,434,5
2020-12-18,384,5
2020-12-21,354,5
2020-12-22,362,5
2020-12-23,320,5
2020-12-24,171,5
2020-12-29,239,5
2020-12-30,234,5
2020-12-31,161,5
2021-01-04,384,5
2021-01-05,377,5
2021-01-06,395,5
2021-01-07,369,5
2021-01-08,352,5
2021-01-11,392,5
2021-01-12,401,5
2021-01-13,385,5
2021-01-14,345,5
2021-01-15,313,5
2021-01-18,337,5
2021-01-19,350,5
2021-01-20,342,5
2021-01-21,340,5
2021-01-22,308,5
2021-01-25,338,5
2021-01-26,373,5
2021-01-27,322,3
2021-01-28,355,5
2021-01-29,324,5
2021-02-01,335,5
2021-02-02,345,5
2021-02-03,348,5
2021-02-04,337,5
2021-02-05,318,5
2021-02-08,343,5
2021-02-09,364,5
2021-02-10,361,5
2021-02-11,361,5
2021-02-12,313,5
2021-02-16,349,5
2021-02-17,390,5
2021-02-18,399,5
2021-02-19,358,5
2021-02-22,395,5
2021-02-23,379,5
2021-02-24,385,5
2021-02-25,386,5
2021-02-26,342,5
2021-03-01,383,5
2021-03-02,391,5
2021-03-03,398,5
2021-03-04,400,5
2021-03-05,364,5
2021-03-08,412,5
2021-03-09,441,5
2021-03-10,441,5
2021-03-11,444,5
2021-03-12,398,5
2021-03-15,406,5
2021-03-16,420,5
2021-03-17,437,5
2021-03-18,426,5
2021-03-19,368,5
2021-03-22,425,5
2021-03-23,441,5
2021-03-24,448,5
2021-03-25,467,5
2021-03-26,391,5
2021-03-29,440,5
2021-03-30,462,5
2021-03-31,465,5
2021-04-01,444,5
2021-04-05,304,5
2021-04-06,432,5
2021-04-07,427,5
2021-04-08,396,5
2021-04-09,355,5
2021-04-12,354,5
2021-04-13,357,5
2021-04-14,366,5
2021-04-15,370,5
2021-04-16,324,5
2021-04-19,333,5
2021-04-20,345,5
2021-04-21,336,5
2021-04-22,350,5
2021-04-23,310,5
2021-04-26,326,5
2021-04-27,345,5
2021-04-28,337,5
2021-04-29,346,5
2021-04-30,313,5
2021-05-03,348,5
2021-05-04,331,5
2021-05-05,353,5
2021-05-06,359,5
2021-05-07,313,5
2021-05-10,354,5
2021-05-11,364,5
2021-05-12,349,5
2021-05-13,338,5
2021-05-14,313,5
2021-05-17,350,5
2021-05-18,368,5
2021-05-19,364,5
2021-05-20,370,5
2021-05-21,285,5
2021-05-25,380,5
2021-05-26,374,5
2021-05-27,379,5
2021-05-28,338,5
2021-05-31,382,5
2021-06-01,395,5
2021-06-02,411,5
2021-06-03,391,5
2021-06-04,354,5
2021-06-07,389,5
2021-06-08,412,5
2021-06-09,422,5
2021-06-10,429,5
2021-06-11,381,5
2021-06-14,417,5
2021-06-15,455,5
2021-06-16,426,4
2021-06-17,84,1
2021-06-18,391,5
2021-06-21,427,5
2021-06-22,469,5
2021-06-23,448,5
2021-06-24,479,5
2021-06-25,395,5
2021-06-28,441,5
2021-06-29,467,5
2021-06-30,466,5
2021-07-02,275,5
2021-07-05,466,5
2021-07-06,491,5
2021-07-07,499,5
2021-07-08,478,5
2021-07-09,434,5
2021-07-12,508,5
2021-07-13,523,5
2021-07-14,524,5
2021-07-15,524,5
2021-07-16,477,5
2021-07-19,514,5
2021-07-20,525,5
2021-07-21,576,5
2021-07-22,573,5
2021-07-23,495,5
2021-07-26,561,5
2021-07-27,605,5
2021-07-28,634,5
2021-07-29,575,5
2021-07-30,486,5
2021-08-03,588,5
2021-08-04,617,5
2021-08-05,606,5
2021-08-06,534,5
2021-08-09,582,5
2021-08-10,640,5
2021-08-11,658,5
2021-08-12,623,5
2021-08-13,542,5
2021-08-16,593,5
2021-08-17,650,5
2021-08-18,654,5
2021-08-19,634,5
2021-08-20,558,5
2021-08-23,613,5
2021-08-24,684,5
2021-08-25,688,5
2021-08-26,673,5
2021-08-27,598,5
2021-08-30,635,5
2021-08-31,707,5
2021-09-01,721,5
2021-09-02,691,5
2021-09-03,578,5
2021-09-07,821,10
2021-09-08,849,10
2021-09-09,879,10
2021-09-10,749,10
2021-09-13,887,10
2021-09-14,1034,10
2021-09-15,981,10
2021-09-16,969,10
2021-09-17,823,10
2021-09-20,902,10
2021-09-21,1052,10
2021-09-22,1024,10
2021-09-23,1058,10
2021-09-24,886,10
2021-09-27,984,10
2021-09-28,1109,10
2021-09-29,1124,10
2021-09-30,971,10
2021-10-01,832,10
2021-10-04,981,10
2021-10-05,1153,10
2021-10-06,1156,10
2021-10-07,1102,10
2021-10-08,821,10
2021-10-12,1111,9
2021-10-13,1229,10
2021-10-14,1176,10
2021-10-15,896,10
2021-10-18,1079,9
2021-10-19,1283,10
2021-10-20,1255,10
2021-10-21,1264,10
2021-10-22,915,10
2021-10-25,1056,10
2021-10-26,1282,10
2021-10-27,1321,10
2021-10-28,1330,10
2021-10-29,925,10
2021-11-01,1160,10
2021-11-02,1400,10
2021-11-03,1439,10
2021-11-04,1362,10
2021-11-05,995,10
2021-11-08,1160,10
2021-11-09,1402,10
2021-11-10,1445,10
2021-11-11,1127,10
2021-11-12,930,10
2021-11-15,1227,10
2021-11-16,1477,10
2021-11-17,1503,10
2021-11-18,1491,10
2021-11-19,1020,10
2021-11-22,1250,10
2021-11-23,1499,10
2021-11-24,1555,10
2021-11-25,1446,10
2021-11-26,980,10
2021-11-29,1199,10
2021-11-30,1543,10
2021-12-01,1559,10
2021-12-02,1506,10
2021-12-03,1028,10
2021-12-06,1241,10
2021-12-07,1461,10
2021-12-08,1501,10
2021-12-09,1457,10
2021-12-10,1101,10
2021-12-13,1174,10
2021-12-14,1378,10
2021-12-15,1283,10
2021-12-16,1140,10
2021-12-17,780,10
2021-12-20,665,10
2021-12-21,637,10
2021-12-22,579,10
2021-12-23,509,10
2021-12-24,246,8
2021-12-29,341,10
2021-12-30,301,10
2021-12-31,181,8
2022-01-04,510,10
2022-01-05,472,10
2022-01-06,460,10
2022-01-07,407,10
2022-01-10,462,5
2022-01-11,472,5
2022-01-12,479,5
2022-01-13,483,5
2022-01-14,407,5
2022-01-17,270,5
2022-01-18,379,5
2022-01-19,514,5
2022-01-20,555,5
2022-01-21,461,5
2022-01-24,544,5
2022-01-25,593,5
2022-01-26,546,5
2022-01-27,586,5
2022-01-28,501,5
2022-01-31,641,5
2022-02-01,716,5
2022-02-02,697,5
2022-02-03,608,5
2022-02-04,580,5
2022-02-07,831,5
2022-02-08,899,5
2022-02-09,897,5
2022-02-10,908,5
2022-02-11,703,5
2022-02-14,857,5
2022-02-15,958,5
2022-02-16,962,5
2022-02-17,910,5
2022-02-18,563,5
2022-02-22,947,5
2022-02-23,1023,5
2022-02-24,992,5
2022-02-25,753,5
2022-02-28,1173,5
2022-03-01,1424,5
2022-03-02,1336,5
2022-03-03,1346,5
2022-03-04,1051,5
2022-03-07,1256,5
2022-03-08,1541,5
2022-03-09,1483,5
2022-03-10,1476,5
2022-03-11,1072,5
2022-03-14,1219,5
2022-03-15,1440,5
2022-03-16,1434,5
2022-03-17,900,5
2022-03-18,975,5
2022-03-21,1333,5
2022-03-22,1673,5
2022-03-23,1589,5
2022-03-24,1647,5
2022-03-25,1096,5
2022-03-28,1432,5
2022-03-29,1722,5
2022-03-30,1722,5
2022-03-31,1660,5
2022-04-01,1153,5
2022-04-04,1627,5
2022-04-05,1929,5
2022-04-06,1962,5
2022-04-07,1851,5
2022-04-08,1176,5
2022-04-11,1586,5
2022-04-12,1915,5
2022-04-13,1843,5
2022-04-14,1588,5
2022-04-18,984,5
2022-04-19,1804,5
2022-04-20,1813,5
2022-04-21,1751,5
2022-04-22,1148,5
2022-04-25,1538,5
2022-04-26,1931,5
2022-04-27,1887,5
2022-04-28,1953,5
2022-04-29,1195,5
2022-05-02,1493,5
2022-05-03,2003,5
2022-05-04,2098,5
2022-05-05,2130,5
2022-05-06,1304,5
2022-05-09,1709,5
2022-05-10,2302,5
2022-05-11,2328,5
2022-05-12,2211,5
2022-05-13,1267,5
2022-05-16,1854,5
2022-05-17,2481,5
2022-05-18,2529,5
2022-05-19,2293,5
2022-05-20,1146,5
2022-05-24,2341,5
2022-05-25,2545,5
2022-05-26,2436,5
2022-05-27,1357,5
2022-05-30,1931,5
2022-05-31,2671,5
