date,ridership Lakeshore West UNION STATION Midday,total_train_trips Lakeshore West UNION STATION Midday
2021-09-30,897,24
2021-10-01,1011,24
2021-10-04,773,24
2021-10-05,754,24
2021-10-06,767,22
2021-10-07,871,23
2021-10-08,1132,24
2021-10-12,862,24
2021-10-13,853,24
2021-10-14,600,17
2021-10-15,937,24
2021-10-18,746,24
2021-10-19,860,24
2021-10-20,844,24
2021-10-21,832,24
2021-10-22,946,24
2021-10-25,620,23
2021-10-26,763,24
2021-10-27,933,20
2021-10-28,902,24
2021-10-29,999,24
2021-11-01,806,24
2021-11-02,813,24
2021-11-03,870,24
2021-11-04,857,24
2021-11-05,1001,24
2021-11-08,806,24
2021-11-09,787,24
2021-11-10,912,24
2021-11-11,973,24
2021-11-12,1050,24
2021-11-15,768,24
2021-11-16,789,24
2021-11-17,839,24
2021-11-18,832,24
2021-11-19,1055,24
2021-11-22,764,24
2021-11-23,803,24
2021-11-24,842,24
2021-11-25,931,24
2021-11-26,1154,24
2021-11-29,755,12
2021-11-30,761,12
2021-12-01,788,12
2021-12-02,840,12
2021-12-03,1034,12
2021-12-06,779,24
2021-12-07,778,24
2021-12-08,793,24
2021-12-09,864,24
2021-12-10,974,24
2021-12-13,774,24
2021-12-14,809,24
2021-12-15,819,24
2021-12-16,795,24
2021-12-17,943,24
2021-12-20,684,24
2021-12-21,713,24
2021-12-22,749,24
2021-12-23,848,24
2021-12-24,1088,24
2021-12-29,620,24
2021-12-30,596,24
2021-12-31,746,24
2022-01-04,490,24
2022-01-05,387,24
2022-01-06,401,24
2022-01-07,438,24
2022-01-10,372,24
2022-01-11,362,24
2022-01-12,384,24
2022-01-13,403,24
2022-01-14,485,24
2022-01-17,252,24
2022-01-18,358,12
2022-01-19,447,12
2022-01-20,455,12
2022-01-21,528,12
2022-01-24,491,12
2022-01-25,458,12
2022-01-26,401,12
2022-01-27,508,12
2022-01-28,603,12
2022-01-31,546,12
2022-02-01,567,12
2022-02-02,519,12
2022-02-03,451,12
2022-02-04,662,12
2022-02-07,649,12
2022-02-08,639,12
2022-02-09,590,12
2022-02-10,634,12
2022-02-11,774,12
2022-02-14,655,12
2022-02-15,677,12
2022-02-16,675,12
2022-02-17,690,12
2022-02-18,812,12
2022-02-22,658,12
2022-02-23,688,12
2022-02-24,696,12
2022-02-25,747,12
2022-02-28,803,12
2022-03-01,797,12
2022-03-02,777,12
2022-03-03,794,12
2022-03-04,983,12
2022-03-07,778,12
2022-03-08,867,12
2022-03-09,835,12
2022-03-10,957,12
2022-03-11,1026,12
2022-03-14,896,12
2022-03-15,944,12
2022-03-16,982,12
2022-03-17,1173,12
2022-03-18,1172,12
2022-03-21,915,12
2022-03-22,908,12
2022-03-23,850,12
2022-03-24,953,12
2022-03-25,1057,12
2022-03-28,883,12
2022-03-29,942,12
2022-03-30,893,12
2022-03-31,1071,12
2022-04-01,1112,12
2022-04-04,943,12
2022-04-05,916,12
2022-04-06,923,12
2022-04-07,950,12
2022-04-08,1026,12
2022-04-11,933,12
2022-04-12,896,12
2022-04-13,940,12
2022-04-14,1101,12
2022-04-18,895,12
2022-04-19,853,12
2022-04-20,1058,12
2022-04-21,913,12
2022-04-22,1130,12
2022-04-25,990,12
2022-04-26,969,12
2022-04-27,1016,12
2022-04-28,980,12
2022-04-29,1236,12
2022-05-02,1042,12
2022-05-03,918,12
2022-05-04,980,12
2022-05-05,1077,12
2022-05-06,1106,12
2022-05-09,1007,12
2022-05-10,1043,12
2022-05-11,1134,12
2022-05-12,1109,12
2022-05-13,1205,12
2022-05-16,934,12
2022-05-17,1024,12
2022-05-18,1102,12
2022-05-19,1096,12
2022-05-20,1340,12
2022-05-24,1067,12
