date,ridership Milton UNION STATION PM Peak,total_train_trips Milton UNION STATION PM Peak
2020-08-10,270,3
2020-08-11,288,3
2020-08-12,392,3
2020-08-13,403,3
2020-08-14,312,3
2020-08-17,371,3
2020-08-18,414,3
2020-08-19,396,3
2020-08-20,379,3
2020-08-21,329,3
2020-08-24,380,3
2020-08-25,412,3
2020-08-26,425,3
2020-08-27,391,3
2020-08-28,384,3
2020-08-31,405,3
2020-09-01,437,3
2020-09-02,439,3
2020-09-03,447,3
2020-09-04,344,3
2020-09-08,493,4
2020-09-09,526,4
2020-09-10,496,4
2020-09-11,450,4
2020-09-14,507,4
2020-09-15,554,4
2020-09-16,541,4
2020-09-17,532,4
2020-09-18,467,4
2020-09-21,508,4
2020-09-22,545,4
2020-09-23,549,4
2020-09-24,542,4
2020-09-25,453,4
2020-09-28,518,4
2020-09-29,524,4
2020-09-30,537,4
2020-10-01,514,4
2020-10-02,485,4
2020-10-05,511,4
2020-10-06,528,4
2020-10-07,526,4
2020-10-08,535,4
2020-10-09,447,4
2020-10-13,447,4
2020-10-14,451,4
2020-10-15,460,3
2020-10-16,425,4
2020-10-19,485,4
2020-10-20,512,4
2020-10-21,491,4
2020-10-22,515,4
2020-10-23,444,4
2020-10-26,500,4
2020-10-27,515,4
2020-10-28,527,4
2020-10-29,526,4
2020-10-30,460,4
2020-11-02,510,4
2020-11-03,535,4
2020-11-04,532,4
2020-11-05,524,4
2020-11-06,477,4
2020-11-09,500,4
2020-11-10,541,4
2020-11-11,416,4
2020-11-12,513,4
2020-11-13,443,4
2020-11-16,492,4
2020-11-17,523,4
2020-11-18,492,4
2020-11-19,500,4
2020-11-20,456,4
2020-11-23,421,4
2020-11-24,450,4
2020-11-25,443,4
2020-11-26,454,4
2020-11-27,382,4
2020-11-30,432,4
2020-12-01,479,4
2020-12-02,471,4
2020-12-03,440,4
2020-12-04,403,4
2020-12-07,436,4
2020-12-08,451,4
2020-12-09,463,4
2020-12-10,442,4
2020-12-11,382,4
2020-12-14,414,4
2020-12-15,447,4
2020-12-16,445,4
2020-12-17,407,4
2020-12-18,380,4
2020-12-21,360,4
2020-12-22,362,4
