date,ridership Kitchener UNION STATION PM Peak,total_train_trips Kitchener UNION STATION PM Peak
2022-11-29,2984,5
2022-11-30,2910,5
2022-12-01,2527,5
2022-12-02,1812,5
2022-12-05,2102,9
2022-12-06,2555,9
2022-12-07,2853,9
2022-12-08,2585,9
2022-12-09,1667,9
2022-12-12,2109,9
2022-12-13,2788,9
2022-12-14,2767,9
2022-12-15,1540,5
2022-12-16,1403,5
2022-12-19,1716,9
2022-12-20,2088,8
2022-12-21,1925,9
2022-12-22,1556,9
2022-12-23,656,5
2022-12-28,846,9
2022-12-29,865,9
2022-12-30,693,9
