date,ridership Stouffville UNION STATION PM Peak,total_train_trips Stouffville UNION STATION PM Peak
2020-08-07,126,3
2020-08-10,132,3
2020-08-11,144,3
2020-08-12,190,3
2020-08-13,222,3
2020-08-14,185,3
2020-08-17,192,3
2020-08-18,196,3
2020-08-19,213,3
2020-08-20,209,3
2020-08-21,159,3
2020-08-24,197,3
2020-08-25,201,3
2020-08-26,208,3
2020-08-27,198,3
2020-08-28,192,3
2020-08-31,208,3
2020-09-01,220,3
2020-09-02,225,3
2020-09-03,227,3
2020-09-04,169,3
2020-09-08,272,4
2020-09-09,285,4
2020-09-10,263,4
2020-09-11,262,4
2020-09-14,259,4
2020-09-15,265,4
2020-09-16,277,4
2020-09-17,263,4
2020-09-18,254,4
2020-09-21,268,4
2020-09-22,281,4
2020-09-23,287,4
2020-09-24,285,4
2020-09-25,241,4
2020-09-28,272,4
2020-09-29,272,4
2020-09-30,257,3
2020-10-01,286,4
2020-10-02,241,4
2020-10-05,252,4
2020-10-06,262,4
2020-10-07,256,4
2020-10-08,281,4
2020-10-09,230,4
2020-10-13,263,4
2020-10-14,257,4
2020-10-15,269,4
2020-10-16,234,4
2020-10-19,250,4
2020-10-20,270,4
2020-10-21,262,4
2020-10-22,274,4
2020-10-23,229,4
2020-10-26,256,4
2020-10-27,262,4
2020-10-28,259,4
2020-10-29,262,4
2020-10-30,227,4
2020-11-02,264,4
2020-11-03,280,4
2020-11-04,277,4
2020-11-05,268,4
2020-11-06,249,4
2020-11-09,269,4
2020-11-10,277,4
2020-11-11,210,4
2020-11-12,274,4
2020-11-13,238,4
2020-11-16,268,4
2020-11-17,266,4
2020-11-18,267,4
2020-11-20,231,4
2020-11-23,225,4
2020-11-24,226,4
2020-11-25,223,4
2020-11-26,225,4
2020-11-27,200,4
2020-11-30,224,4
2020-12-01,241,4
2020-12-02,227,4
2020-12-03,237,4
2020-12-04,205,4
2020-12-07,219,4
2020-12-08,244,4
2020-12-09,229,4
2020-12-10,231,4
2020-12-11,207,4
2020-12-14,216,4
2020-12-15,229,4
2020-12-16,228,4
2020-12-17,236,4
2020-12-18,208,4
2020-12-21,174,4
2020-12-22,176,4
2020-12-23,159,4
2020-12-24,103,4
2020-12-28,23,3
2020-12-29,118,4
2020-12-30,119,4
2020-12-31,87,4
2021-01-04,212,4
2021-01-05,210,4
2021-01-06,206,4
2021-01-07,212,4
2021-01-08,180,4
2021-01-11,220,4
2021-01-12,215,4
2021-01-13,205,4
2021-01-14,179,4
2021-01-15,159,4
2021-01-18,165,4
2021-01-19,173,4
2021-01-20,172,4
2021-01-21,173,4
2021-01-22,157,4
2021-01-25,183,4
2021-01-26,183,4
2021-01-27,183,4
2021-01-28,173,4
2021-01-29,165,4
2021-02-01,177,4
2021-02-02,184,4
2021-02-03,183,4
2021-02-04,173,4
2021-02-05,167,4
2021-02-08,182,4
2021-02-09,182,4
2021-02-10,187,4
2021-02-11,190,4
2021-02-12,153,4
2021-02-16,176,4
2021-02-17,190,4
2021-02-18,205,4
2021-02-19,157,2
2021-02-22,183,3
2021-02-23,202,4
2021-02-24,200,4
2021-02-25,208,4
2021-02-26,173,4
2021-03-01,176,4
2021-03-02,215,4
2021-03-03,192,4
2021-03-04,220,4
2021-03-05,169,4
2021-03-08,208,4
2021-03-09,225,4
2021-03-10,221,4
2021-03-11,202,4
2021-03-12,198,4
2021-03-15,202,4
2021-03-16,208,4
2021-03-17,221,4
2021-03-18,212,4
2021-03-19,207,4
2021-03-22,206,4
2021-03-23,233,4
2021-03-24,225,4
2021-03-25,224,4
2021-03-26,208,4
2021-03-29,220,4
2021-03-30,223,4
2021-03-31,211,4
2021-04-01,219,4
2021-04-05,147,4
2021-04-06,218,4
2021-04-07,215,4
2021-04-08,209,4
2021-04-09,168,4
2021-04-12,183,4
2021-04-13,194,4
