date,ridership Stouffville OLD ELM GO AM Peak,total_train_trips Stouffville OLD ELM GO AM Peak
2021-01-11,202,4
2021-01-12,199,4
2021-01-13,192,4
2021-01-14,178,4
2021-01-15,143,4
2021-01-18,159,4
2021-01-19,163,4
2021-01-20,159,4
2021-01-21,155,4
2021-01-22,140,4
2021-01-25,154,3
2021-01-26,150,3
2021-01-27,152,3
2021-01-28,147,3
2021-01-29,127,3
2021-02-01,143,3
2021-02-02,149,3
2021-02-03,149,3
2021-02-04,147,3
2021-02-05,122,3
2021-02-08,143,3
2021-02-09,151,3
2021-02-10,157,3
2021-02-11,148,3
2021-02-12,122,3
2021-02-16,152,3
2021-02-17,169,3
2021-02-18,168,3
2021-02-19,130,3
2021-02-22,156,3
2021-02-23,163,3
2021-02-24,169,3
2021-02-25,167,3
2021-02-26,136,3
2021-03-01,160,3
2021-03-02,165,3
2021-03-03,162,3
2021-03-04,168,3
2021-03-05,138,3
2021-03-08,168,3
2021-03-09,176,3
2021-03-10,183,3
2021-03-11,177,3
2021-03-12,159,3
2021-03-15,168,3
2021-03-16,180,3
2021-03-17,180,3
2021-03-18,162,3
2021-03-19,159,3
2021-03-22,165,3
2021-03-23,178,3
2021-03-24,191,3
2021-03-25,176,3
2021-03-26,147,3
2021-03-29,174,3
2021-03-30,187,3
2021-03-31,192,3
2021-04-01,180,3
2021-04-05,117,3
2021-04-06,177,3
2021-04-07,177,3
2021-04-08,165,3
2021-04-09,142,3
2021-04-12,153,3
2021-04-13,154,3
2021-04-14,156,3
2021-04-15,159,3
2021-04-16,137,3
2021-04-19,138,3
2021-04-20,155,3
2021-04-21,139,3
2021-04-22,149,3
2021-04-23,120,3
2021-04-26,147,3
2021-04-27,148,3
2021-04-28,157,3
2021-04-29,161,3
2021-04-30,133,3
2021-05-03,162,3
2021-05-04,157,3
2021-05-05,160,3
2021-05-06,160,3
2021-05-07,130,3
2021-05-10,164,3
2021-05-11,161,3
2021-05-12,182,3
2021-05-13,159,3
2021-05-14,154,3
2021-05-17,156,3
2021-05-18,159,3
2021-05-19,176,3
2021-05-20,170,3
2021-05-21,126,3
2021-05-25,165,3
2021-05-26,186,3
2021-05-27,180,3
2021-05-28,135,3
2021-05-31,173,3
2021-06-01,194,3
2021-06-02,194,3
2021-06-03,182,3
2021-06-04,148,3
2021-06-07,194,3
2021-06-08,188,3
2021-06-09,200,3
2021-06-10,183,3
2021-06-11,177,3
2021-06-14,184,3
2021-06-15,206,3
2021-06-16,201,3
2021-06-17,201,3
2021-06-18,170,3
2021-06-21,190,3
2021-06-22,211,3
2021-06-23,211,3
2021-06-24,194,3
2021-06-25,167,3
2021-06-28,196,3
2021-06-29,198,3
2021-06-30,205,3
2021-07-02,127,3
2021-07-05,203,3
2021-07-06,224,3
2021-07-07,196,3
2021-07-08,208,3
2021-07-09,179,3
2021-07-12,213,3
2021-07-13,214,3
2021-07-14,237,3
2021-07-15,227,3
2021-07-16,185,3
2021-07-19,232,3
2021-07-20,237,3
2021-07-21,250,3
2021-07-22,237,3
2021-07-23,209,3
2021-07-26,239,3
2021-07-27,245,3
2021-07-28,239,3
