date,ridership Milton UNION STATION,total_train_trips Milton UNION STATION
2021-03-19,402,5
2021-03-22,447,5
2021-03-23,457,5
2021-03-24,465,5
2021-03-25,479,5
2021-03-26,418,5
2021-03-29,459,5
2021-03-30,481,5
2021-03-31,460,5
2021-04-01,454,5
2021-04-05,316,5
2021-04-06,447,5
2021-04-07,427,5
2021-04-08,401,5
2021-04-09,378,5
2021-04-12,376,5
2021-04-13,385,5
2021-04-14,392,5
2021-04-15,395,5
2021-04-16,343,5
2021-04-19,362,5
2021-04-20,376,5
2021-04-21,359,5
2021-04-22,359,5
2021-04-23,337,5
2021-04-26,353,5
2021-04-27,353,5
2021-04-28,351,5
2021-04-29,345,5
2021-04-30,320,5
2021-05-03,362,5
2021-05-04,359,5
2021-05-05,372,5
2021-05-06,373,5
2021-05-07,351,5
2021-05-10,383,5
2021-05-11,387,5
2021-05-12,381,5
2021-05-13,350,5
2021-05-14,322,5
2021-05-17,394,5
2021-05-18,400,5
2021-05-19,388,5
2021-05-20,396,5
2021-05-21,288,5
2021-05-25,394,5
2021-05-26,401,5
2021-05-27,403,5
2021-05-28,361,5
2021-05-31,409,5
2021-06-01,415,5
2021-06-02,437,5
2021-06-03,417,5
2021-06-04,401,5
2021-06-07,416,5
2021-06-08,431,5
2021-06-09,441,5
2021-06-10,446,5
2021-06-11,408,5
2021-06-14,439,5
2021-06-15,475,5
2021-06-16,465,5
2021-06-17,387,5
2021-06-18,425,5
2021-06-21,463,5
2021-06-22,494,5
2021-06-23,469,5
2021-06-24,492,5
2021-06-25,430,5
2021-06-28,475,5
2021-06-29,499,5
2021-06-30,510,5
2021-07-02,319,5
2021-07-05,496,5
2021-07-06,520,5
2021-07-07,522,5
2021-07-08,503,5
2021-07-09,484,5
2021-07-12,528,5
2021-07-13,537,5
2021-07-14,572,5
2021-07-15,566,5
2021-07-16,507,5
2021-07-19,542,5
2021-07-20,381,3
2021-07-21,607,5
2021-07-22,588,5
2021-07-23,512,5
2021-07-26,604,5
2021-07-27,609,5
2021-07-28,654,5
2021-07-29,617,5
2021-07-30,551,5
2021-08-03,593,5
2021-08-04,669,5
2021-08-05,636,5
2021-08-06,576,5
2021-08-09,596,5
2021-08-10,656,5
2021-08-11,658,5
2021-08-12,656,5
2021-08-13,579,5
2021-08-16,641,5
2021-08-17,675,5
2021-08-18,702,5
2021-08-19,687,5
2021-08-20,581,5
2021-08-23,626,5
2021-08-24,726,5
2021-08-25,710,5
2021-08-26,743,5
2021-08-27,638,5
2021-08-30,682,5
2021-08-31,739,5
2021-09-01,770,5
