date,ridership Lakeshore West HAMILTON GO CENTRE AM Peak,total_train_trips Lakeshore West HAMILTON GO CENTRE AM Peak
2020-09-18,205,2
2020-09-21,244,2
2020-09-22,264,2
2020-09-23,272,2
2020-09-24,251,2
2020-09-25,217,2
2020-09-28,253,2
2020-09-29,252,2
2020-09-30,237,2
2020-10-01,252,2
2020-10-02,214,2
2020-10-05,238,2
2020-10-06,255,2
2020-10-07,220,2
2020-10-08,233,2
2020-10-09,178,2
2020-10-13,245,2
2020-10-14,235,2
2020-10-15,226,2
2020-10-16,194,2
2020-10-19,235,2
2020-10-20,168,1
2020-10-21,234,2
2020-10-22,329,2
2020-10-23,190,2
2020-10-26,245,2
2020-10-27,245,2
2020-10-28,236,2
2020-10-29,241,2
2020-10-30,208,2
2020-11-02,241,2
2020-11-03,262,2
2020-11-04,225,2
2020-11-05,244,2
2020-11-06,197,2
2020-11-09,242,2
2020-11-10,242,2
2020-11-11,208,2
2020-11-12,254,2
2020-11-13,202,2
2020-11-16,223,2
2020-11-17,231,2
2020-11-18,213,2
2020-11-19,217,2
2020-11-20,178,2
2020-11-23,204,2
2020-11-24,195,2
2020-11-25,196,2
2020-11-26,183,2
2020-11-27,166,2
2020-11-30,202,2
2020-12-01,219,2
2020-12-02,198,2
2020-12-03,208,2
2020-12-04,178,2
2020-12-07,190,2
2020-12-08,201,2
2020-12-09,194,2
2020-12-10,204,2
2020-12-11,178,2
2020-12-14,182,2
2020-12-15,186,2
2020-12-16,182,2
2020-12-17,189,2
2020-12-18,165,2
2020-12-21,148,2
2020-12-22,157,2
2020-12-23,141,2
2020-12-24,74,2
2020-12-29,102,2
2020-12-30,105,2
2020-12-31,68,2
2021-01-04,156,2
2021-01-05,163,2
2021-01-06,156,2
2021-01-07,176,2
2021-01-08,147,2
2021-01-11,171,2
2021-01-12,159,2
2021-01-13,145,2
2021-01-14,155,2
2021-01-15,122,2
2021-01-18,141,2
2021-01-19,134,2
2021-01-20,144,2
2021-01-21,146,2
2021-01-22,136,2
2021-01-25,148,2
2021-01-26,147,2
2021-01-27,140,2
2021-01-28,155,2
2021-01-29,128,2
2021-02-01,147,2
2021-02-02,147,2
2021-02-03,147,2
2021-02-04,142,2
2021-02-05,141,2
2021-02-08,151,2
2021-02-09,162,2
2021-02-10,153,2
2021-02-11,161,2
2021-02-12,130,2
2021-02-16,157,2
2021-02-17,165,2
2021-02-18,170,2
2021-02-19,165,2
2021-02-22,158,2
2021-02-23,182,2
2021-02-24,178,2
2021-02-25,183,2
2021-02-26,147,2
2021-03-01,182,2
2021-03-02,183,2
2021-03-03,163,2
2021-03-04,174,2
2021-03-05,156,2
2021-03-08,185,2
2021-03-09,185,2
2021-03-10,178,2
2021-03-11,193,2
2021-03-12,163,2
2021-03-15,189,2
2021-03-16,194,2
2021-03-17,190,2
2021-03-18,182,2
2021-03-19,167,2
2021-03-22,177,2
2021-03-23,190,2
2021-03-24,192,2
2021-03-25,192,2
2021-03-26,165,2
2021-03-29,196,2
2021-03-30,187,2
2021-03-31,192,2
2021-04-01,175,2
2021-04-05,121,2
2021-04-06,201,2
2021-04-07,173,2
2021-04-08,174,2
2021-04-09,141,2
2021-04-12,147,2
2021-04-13,150,2
2021-04-14,143,2
2021-04-15,140,2
2021-04-16,138,2
2021-04-19,125,2
2021-04-20,71,1
2021-04-21,137,2
2021-04-22,145,2
2021-04-23,120,2
2021-04-26,142,2
2021-04-27,151,2
2021-04-28,146,2
2021-04-29,138,2
2021-04-30,131,2
2021-05-03,161,2
2021-05-04,152,2
2021-05-05,150,2
2021-05-06,169,2
2021-05-07,147,2
2021-05-10,164,2
2021-05-11,163,2
2021-05-12,162,2
2021-05-13,163,2
2021-05-14,143,2
2021-05-17,161,2
2021-05-18,185,2
