date,ridership Richmond Hill,total_train_trips Richmond Hill
2021-05-11,197,8
2021-05-12,172,8
2021-05-13,211,8
2021-05-14,161,8
2021-05-17,191,8
2021-05-18,200,8
2021-05-19,196,8
2021-05-20,214,8
2021-05-21,167,8
2021-05-25,229,8
2021-05-26,216,8
2021-05-27,231,8
2021-05-28,166,8
2021-05-31,204,8
2021-06-01,234,8
2021-06-02,216,8
2021-06-03,223,8
2021-06-04,195,8
2021-06-07,223,8
2021-06-08,241,8
2021-06-09,236,8
2021-06-10,236,8
2021-06-11,196,8
2021-06-14,224,8
2021-06-15,267,8
2021-06-16,256,8
2021-06-17,263,8
2021-06-18,200,8
2021-06-21,237,8
2021-06-22,278,8
2021-06-23,281,8
2021-06-24,248,8
2021-06-25,209,8
2021-06-28,257,8
2021-06-29,259,8
2021-06-30,271,8
2021-07-02,152,8
2021-07-05,269,8
2021-07-06,302,8
2021-07-07,293,8
2021-07-08,296,8
2021-07-09,229,8
2021-07-12,314,8
2021-07-13,303,8
2021-07-14,318,8
2021-07-15,327,8
2021-07-16,245,8
2021-07-19,328,8
2021-07-20,354,8
2021-07-21,355,8
2021-07-22,337,8
2021-07-23,271,8
2021-07-26,331,8
2021-07-27,349,8
2021-07-28,357,8
2021-07-29,348,8
2021-07-30,268,8
2021-08-03,347,8
2021-08-04,358,8
2021-08-05,397,8
2021-08-06,289,8
2021-08-09,335,8
2021-08-10,374,8
2021-08-11,384,8
2021-08-12,378,8
2021-08-13,289,8
2021-08-16,390,8
2021-08-17,391,8
2021-08-18,381,8
2021-08-19,417,8
2021-08-20,306,8
2021-08-23,357,8
2021-08-24,405,8
2021-08-25,393,8
2021-08-26,411,8
2021-08-27,318,8
2021-08-30,380,8
2021-08-31,419,8
2021-09-01,431,8
2021-09-02,389,8
2021-09-03,281,8
2021-09-07,494,11
2021-09-08,368,7
2021-09-09,543,11
2021-09-10,432,11
2021-09-13,554,11
2021-09-14,563,10
2021-09-15,647,11
2021-09-16,579,11
2021-09-17,460,11
2021-09-20,554,11
2021-09-21,634,11
2021-09-22,579,11
2021-09-23,584,11
2021-09-24,467,11
2021-09-27,594,11
2021-09-28,665,11
2021-09-29,659,11
2021-09-30,559,11
2021-10-01,490,11
2021-10-04,637,11
2021-10-05,720,11
2021-10-06,710,11
2021-10-07,737,11
2021-10-08,473,11
2021-10-12,730,11
2021-10-13,726,11
2021-10-14,731,11
2021-10-15,508,11
2021-10-18,688,11
2021-10-19,801,11
2021-10-20,772,11
2021-10-21,803,11
2021-10-22,540,11
2021-10-25,662,11
2021-10-26,793,11
2021-10-27,804,11
2021-10-28,839,11
2021-10-29,532,11
2021-11-01,766,11
2021-11-02,885,11
2021-11-03,862,11
2021-11-04,868,11
2021-11-05,562,11
2021-11-08,753,11
2021-11-09,898,11
2021-11-10,864,11
2021-11-11,726,11
2021-11-12,539,11
2021-11-15,808,11
2021-11-16,984,11
2021-11-17,972,11
2021-11-18,916,11
2021-11-19,628,11
2021-11-22,785,11
2021-11-23,994,11
2021-11-24,962,11
2021-11-25,928,11
2021-11-26,604,11
2021-11-29,814,11
2021-11-30,938,11
2021-12-01,942,11
2021-12-02,949,11
2021-12-03,654,11
2021-12-06,750,11
2021-12-07,930,11
2021-12-08,861,11
2021-12-09,871,11
2021-12-10,612,11
2021-12-13,691,11
2021-12-14,790,11
2021-12-15,704,11
2021-12-16,610,11
2021-12-17,412,11
2021-12-20,345,11
2021-12-21,364,11
2021-12-22,303,11
2021-12-23,231,11
2021-12-24,138,11
2021-12-29,169,11
2021-12-30,157,11
2021-12-31,94,10
2022-01-04,208,11
2022-01-05,247,11
2022-01-06,249,11
2022-01-07,201,11
2022-01-10,225,7
2022-01-11,201,7
2022-01-12,229,7
2022-01-13,239,7
2022-01-14,202,7
2022-01-17,119,6
2022-01-18,222,7
2022-01-19,277,7
2022-01-20,268,7
2022-01-21,239,7
2022-01-24,277,7
2022-01-25,300,7
2022-01-26,305,7
2022-01-27,292,7
2022-01-28,252,7
2022-01-31,299,7
2022-02-01,330,7
2022-02-02,373,7
2022-02-03,312,7
2022-02-04,305,7
2022-02-07,429,7
2022-02-08,467,7
2022-02-09,467,7
2022-02-10,480,7
2022-02-11,378,7
2022-02-14,435,7
2022-02-15,537,7
2022-02-16,562,7
2022-02-17,404,7
2022-02-18,339,7
2022-02-22,531,7
2022-02-23,556,7
2022-02-24,546,7
2022-02-25,385,7
2022-02-28,440,7
2022-03-01,744,7
2022-03-02,735,7
2022-03-03,716,7
2022-03-04,550,7
2022-03-07,625,7
2022-03-08,828,7
2022-03-09,861,7
2022-03-10,791,7
2022-03-11,479,7
2022-03-14,643,7
2022-03-15,751,7
2022-03-16,739,7
2022-03-17,771,7
2022-03-18,521,7
2022-03-21,755,7
2022-03-22,956,7
2022-03-23,886,7
2022-03-24,936,7
2022-03-25,593,7
2022-03-28,782,7
2022-03-29,1073,7
2022-03-30,1050,7
2022-03-31,975,7
2022-04-01,624,7
2022-04-04,956,7
2022-04-05,1248,7
2022-04-06,1205,7
2022-04-07,1119,7
2022-04-08,688,7
2022-04-11,987,7
2022-04-12,1271,7
2022-04-13,1191,7
2022-04-14,944,7
2022-04-18,671,7
2022-04-19,1025,7
2022-04-20,1191,7
2022-04-21,1109,7
2022-04-22,677,7
2022-04-25,931,7
2022-04-26,1109,7
2022-04-27,1219,7
2022-04-28,1212,7
2022-04-29,684,7
2022-05-02,1107,7
2022-05-03,1352,7
2022-05-04,1345,7
2022-05-05,1372,7
2022-05-06,803,7
2022-05-09,1169,7
2022-05-10,1529,7
2022-05-11,1489,7
2022-05-12,1459,7
2022-05-13,783,7
2022-05-16,1308,7
2022-05-17,1707,7
2022-05-18,1708,7
2022-05-19,1525,7
2022-05-20,685,7
2022-05-24,1141,7
2022-05-25,1728,7
2022-05-26,1637,7
2022-05-27,834,7
2022-05-30,1303,7
2022-05-31,1821,7
2022-06-01,1775,7
