date,ridership Stouffville MOUNT JOY GO,total_train_trips Stouffville MOUNT JOY GO
2021-03-18,66,7
2021-03-19,76,7
2021-03-22,89,7
2021-03-23,77,7
2021-03-24,69,7
2021-03-25,81,7
2021-03-26,68,7
2021-03-29,72,7
2021-03-30,67,7
2021-03-31,70,7
2021-04-01,79,7
2021-04-05,65,7
2021-04-06,68,7
2021-04-07,73,7
2021-04-08,56,7
2021-04-09,58,7
2021-04-12,47,7
2021-04-13,52,7
2021-04-14,67,7
2021-04-15,46,7
2021-04-16,56,7
2021-04-19,45,7
2021-04-20,43,7
2021-04-21,46,7
2021-04-22,55,7
2021-04-23,56,7
2021-04-26,52,7
2021-04-27,49,7
2021-04-28,58,7
2021-04-29,53,7
2021-04-30,54,6
2021-05-03,35,7
2021-05-04,44,7
2021-05-05,52,7
2021-05-06,51,7
2021-05-07,54,7
2021-05-10,47,7
2021-05-11,62,7
2021-05-12,63,7
2021-05-13,65,7
2021-05-14,66,7
2021-05-17,54,7
2021-05-18,67,7
2021-05-19,55,7
2021-05-20,71,7
2021-05-21,72,6
2021-05-25,68,7
2021-05-26,55,7
2021-05-27,65,7
2021-05-28,64,7
2021-05-31,66,7
2021-06-01,60,7
2021-06-02,66,7
2021-06-03,53,7
2021-06-04,76,7
2021-06-07,60,6
2021-06-08,65,7
2021-06-09,61,7
2021-06-10,74,7
2021-06-11,98,7
2021-06-14,75,7
2021-06-15,91,5
2021-06-16,114,7
2021-06-17,102,7
2021-06-18,92,6
2021-06-21,67,7
2021-06-22,133,7
2021-06-23,115,7
2021-06-24,123,7
2021-06-25,131,7
2021-06-28,84,6
2021-06-29,94,7
2021-06-30,115,7
2021-07-02,125,7
2021-07-05,126,6
2021-07-06,103,6
2021-07-07,103,7
2021-07-08,96,7
2021-07-09,141,7
2021-07-12,118,7
2021-07-13,106,7
2021-07-14,129,7
2021-07-15,131,7
2021-07-16,147,7
2021-07-19,128,7
2021-07-20,134,7
2021-07-21,200,7
2021-07-22,180,7
2021-07-23,199,7
2021-07-26,145,7
2021-07-27,115,7
2021-07-28,207,7
2021-07-29,146,6
2021-07-30,288,7
2021-08-03,182,7
2021-08-04,213,7
2021-08-05,204,7
2021-08-06,246,7
2021-08-07,397,12
2021-08-08,325,12
2021-08-09,189,11
2021-08-10,174,11
2021-08-11,233,11
2021-08-12,249,11
2021-08-13,282,11
2021-08-16,254,11
2021-08-17,219,11
2021-08-18,252,11
2021-08-19,276,11
2021-08-20,344,11
2021-08-21,345,12
2021-08-22,280,12
2021-08-23,270,11
2021-08-24,289,11
2021-08-25,297,11
2021-08-26,347,11
2021-08-27,349,9
2021-08-28,344,12
2021-08-29,250,12
2021-08-30,282,11
2021-08-31,328,11
2021-09-01,356,10
2021-09-02,334,11
2021-09-03,401,11
2021-09-04,363,12
2021-09-05,336,12
2021-09-06,272,12
2021-09-07,252,10
2021-09-08,221,10
2021-09-09,212,10
2021-09-10,290,10
2021-09-11,339,12
2021-09-12,256,12
2021-09-13,200,10
2021-09-14,221,10
2021-09-15,298,10
2021-09-16,250,10
2021-09-17,316,10
2021-09-18,360,12
2021-09-19,276,12
2021-09-20,201,10
2021-09-21,186,10
2021-09-22,174,9
2021-09-23,216,10
2021-09-24,289,10
2021-09-27,243,10
2021-09-28,224,10
2021-09-29,256,10
2021-09-30,264,10
2021-10-01,262,10
2021-10-02,418,12
2021-10-03,250,12
2021-10-04,197,10
2021-10-05,201,10
2021-10-06,256,10
2021-10-07,224,10
