date,ridership Stouffville UNION STATION Evening,total_train_trips Stouffville UNION STATION Evening
2021-07-23,71,1
2021-07-26,78,1
2021-07-27,78,1
2021-07-28,90,1
2021-07-29,75,1
2021-07-30,75,1
2021-08-03,95,1
2021-08-04,80,1
2021-08-05,86,1
2021-08-06,77,1
2021-08-09,169,6
2021-08-10,157,6
2021-08-11,200,6
2021-08-12,194,6
2021-08-13,209,6
2021-08-16,209,6
2021-08-17,195,6
2021-08-18,217,6
2021-08-19,229,6
2021-08-20,244,6
2021-08-23,217,6
2021-08-24,222,6
2021-08-25,254,6
2021-08-26,250,6
2021-08-27,178,4
2021-08-30,227,6
2021-08-31,249,6
2021-09-01,299,6
2021-09-02,254,6
2021-09-03,253,6
2021-09-07,209,7
2021-09-08,213,7
2021-09-09,219,7
2021-09-10,252,7
2021-09-13,214,7
2021-09-14,239,7
2021-09-15,264,7
2021-09-16,255,7
2021-09-17,283,7
2021-09-20,190,7
2021-09-21,195,7
2021-09-22,194,7
2021-09-23,246,7
2021-09-24,281,7
2021-09-27,213,7
2021-09-28,274,7
2021-09-29,281,7
2021-09-30,290,7
2021-10-01,291,7
2021-10-04,227,7
2021-10-05,259,7
2021-10-06,267,7
2021-10-07,305,7
2021-10-08,293,7
2021-10-12,293,7
2021-10-13,339,7
2021-10-14,303,7
2021-10-15,297,7
2021-10-18,244,7
2021-10-19,275,7
2021-10-20,305,7
2021-10-21,291,7
2021-10-22,206,3
2021-10-25,254,7
2021-10-26,271,7
2021-10-27,343,7
2021-10-28,326,7
2021-10-29,304,7
2021-11-01,217,7
2021-11-02,293,7
2021-11-03,305,7
2021-11-04,332,7
2021-11-05,353,7
2021-11-08,215,7
2021-11-09,246,7
2021-11-10,276,7
2021-11-11,262,7
2021-11-12,314,7
2021-11-15,274,7
2021-11-16,293,7
2021-11-17,274,7
2021-11-18,354,7
2021-11-19,322,7
2021-11-22,241,7
2021-11-23,297,7
2021-11-24,332,7
2021-11-25,311,7
2021-11-26,342,7
2021-11-29,239,7
2021-11-30,330,7
2021-12-01,390,7
2021-12-02,376,7
2021-12-03,306,7
2021-12-06,259,7
2021-12-07,326,7
2021-12-08,361,7
2021-12-09,340,7
2021-12-10,341,7
2021-12-13,276,7
2021-12-14,289,7
2021-12-15,293,7
2021-12-16,324,7
2021-12-17,229,7
2021-12-20,183,7
2021-12-21,176,7
2021-12-22,174,7
2021-12-23,136,7
2021-12-24,44,7
2021-12-29,103,7
2021-12-30,110,7
2021-12-31,56,7
2022-01-04,81,7
2022-01-05,78,6
2022-01-06,49,6
2022-01-07,62,7
2022-01-10,46,5
2022-01-11,51,6
2022-01-12,51,6
2022-01-13,80,6
2022-01-14,69,6
2022-01-17,41,5
2022-01-18,72,3
2022-01-19,106,3
2022-01-20,83,3
2022-01-21,87,3
2022-01-24,84,3
2022-01-25,93,3
2022-01-26,106,3
2022-01-27,107,3
2022-01-28,111,3
2022-01-31,106,3
2022-02-01,124,3
2022-02-02,124,3
2022-02-03,111,3
2022-02-04,126,3
2022-02-07,149,3
2022-02-08,159,3
2022-02-09,173,3
2022-02-10,182,3
2022-02-11,158,3
2022-02-14,147,3
2022-02-15,180,3
2022-02-16,189,3
2022-02-17,207,3
2022-02-18,182,3
2022-02-22,188,3
2022-02-23,240,3
2022-02-24,220,3
2022-02-25,175,3
2022-02-28,219,3
2022-03-01,281,3
2022-03-02,249,3
2022-03-03,275,3
2022-03-04,255,3
2022-03-07,241,3
2022-03-08,296,3
2022-03-09,309,3
2022-03-10,303,3
2022-03-11,260,3
2022-03-14,266,3
2022-03-15,321,3
2022-03-16,382,3
2022-03-17,417,3
2022-03-18,315,3
2022-03-21,260,3
2022-03-22,316,3
2022-03-23,298,3
2022-03-24,346,3
2022-03-25,266,3
2022-03-28,277,3
2022-03-29,327,3
2022-03-30,328,3
2022-03-31,381,3
2022-04-01,268,3
2022-04-04,286,3
2022-04-05,356,3
2022-04-06,349,3
2022-04-07,320,3
2022-04-08,282,3
2022-04-11,272,3
2022-04-12,289,3
2022-04-13,349,3
2022-04-14,311,3
2022-04-18,216,3
2022-04-19,295,3
2022-04-20,349,3
2022-04-21,327,3
2022-04-22,281,3
2022-04-25,257,3
2022-04-26,336,3
2022-04-27,358,3
2022-04-28,396,3
2022-04-29,292,3
2022-05-02,296,3
2022-05-03,332,3
2022-05-04,375,3
2022-05-05,412,3
2022-05-06,335,3
2022-05-09,316,3
2022-05-10,362,3
2022-05-11,409,3
2022-05-12,394,3
2022-05-13,267,3
2022-05-16,318,3
2022-05-17,412,3
2022-05-18,454,3
2022-05-19,425,3
2022-05-20,245,3
2022-05-24,448,7
2022-05-25,539,7
2022-05-26,549,7
2022-05-27,388,7
2022-05-30,413,7
2022-05-31,549,7
2022-06-01,611,7
2022-06-02,606,7
2022-06-03,497,7
2022-06-06,386,7
2022-06-07,581,7
2022-06-08,679,7
2022-06-09,645,7
2022-06-10,334,3
2022-06-13,460,7
2022-06-14,642,7
2022-06-15,648,7
2022-06-16,821,7
2022-06-17,558,7
2022-06-20,445,7
2022-06-21,668,7
2022-06-22,751,7
2022-06-23,778,7
2022-06-24,567,7
2022-06-27,539,7
2022-06-28,738,7
2022-06-29,766,7
2022-06-30,632,7
2022-07-04,469,7
2022-07-05,535,7
2022-07-06,706,7
2022-07-07,761,7
2022-07-08,677,7
2022-07-11,445,7
2022-07-12,654,7
2022-07-13,632,7
2022-07-14,699,7
2022-07-15,490,7
2022-07-18,429,7
2022-07-19,596,7
2022-07-20,722,7
2022-07-21,637,6
2022-07-22,462,6
2022-07-25,492,7
2022-07-26,686,7
2022-07-27,817,7
2022-07-28,757,7
2022-07-29,551,7
2022-08-02,482,6
2022-08-03,631,7
2022-08-04,547,6
2022-08-05,393,6
2022-08-08,441,7
2022-08-09,577,7
2022-08-10,711,7
2022-08-11,711,7
2022-08-12,617,7
2022-08-15,618,7
2022-08-16,792,7
2022-08-17,887,7
2022-08-18,728,7
2022-08-19,635,7
2022-08-22,546,7
2022-08-23,808,7
2022-08-24,927,7
2022-08-25,852,7
2022-08-26,752,6
2022-08-29,545,5
2022-08-30,784,7
2022-08-31,987,7
2022-09-01,932,7
2022-09-02,705,7
2022-09-06,725,7
2022-09-07,842,7
2022-09-08,958,7
2022-09-09,726,7
2022-09-12,709,7
2022-09-13,984,7
2022-09-14,1055,7
2022-09-15,1047,7
2022-09-16,722,7
2022-09-19,718,7
2022-09-20,976,7
2022-09-21,989,7
2022-09-22,1160,7
2022-09-23,895,7
2022-09-26,553,3
2022-09-27,686,3
2022-09-28,1039,7
2022-09-29,750,3
2022-09-30,421,3
2022-10-03,710,7
2022-10-04,865,7
2022-10-05,977,7
2022-10-06,960,7
2022-10-07,829,7
2022-10-11,778,7
2022-10-12,933,7
2022-10-13,856,7
2022-10-14,582,7
2022-10-17,729,7
2022-10-18,805,7
2022-10-19,969,7
2022-10-20,958,7
2022-10-21,690,7
2022-10-24,654,7
2022-10-25,881,7
2022-10-26,954,7
2022-10-27,963,7
2022-10-28,638,7
2022-10-31,612,7
2022-11-01,873,7
2022-11-02,993,7
2022-11-03,927,7
2022-11-04,703,7
2022-11-07,550,7
2022-11-08,776,7
2022-11-09,833,7
2022-11-10,849,7
2022-11-11,510,7
2022-11-14,638,7
2022-11-15,832,7
2022-11-16,919,7
2022-11-17,913,7
2022-11-18,670,7
2022-11-21,593,7
2022-11-22,803,7
2022-11-23,933,7
2022-11-24,850,7
2022-11-25,620,7
2022-11-28,637,7
2022-11-29,793,7
2022-11-30,908,7
2022-12-01,939,7
2022-12-02,661,7
2022-12-05,634,7
2022-12-06,852,7
2022-12-07,1043,7
2022-12-08,1043,7
2022-12-09,648,7
2022-12-12,626,7
2022-12-13,903,7
2022-12-14,994,7
2022-12-15,628,7
2022-12-16,654,7
2022-12-19,523,7
2022-12-20,785,7
2022-12-21,806,7
2022-12-22,625,7
2022-12-23,200,6
2022-12-28,421,7
2022-12-29,498,7
2022-12-30,433,7
