date,ridership Milton,total_train_trips Milton
2021-03-23,898,10
2021-03-24,913,10
2021-03-25,946,10
2021-03-26,809,10
2021-03-29,899,10
2021-03-30,943,10
2021-03-31,925,10
2021-04-01,898,10
2021-04-05,620,10
2021-04-06,879,10
2021-04-07,854,10
2021-04-08,797,10
2021-04-09,733,10
2021-04-12,730,10
2021-04-13,742,10
2021-04-14,758,10
2021-04-15,765,10
2021-04-16,667,10
2021-04-19,695,10
2021-04-20,721,10
2021-04-21,695,10
2021-04-22,709,10
2021-04-23,647,10
2021-04-26,679,10
2021-04-27,698,10
2021-04-28,688,10
2021-04-29,691,10
2021-04-30,633,10
2021-05-03,710,10
2021-05-04,690,10
2021-05-05,725,10
2021-05-06,732,10
2021-05-07,664,10
2021-05-10,737,10
2021-05-11,751,10
2021-05-12,730,10
2021-05-13,688,10
2021-05-14,635,10
2021-05-17,744,10
2021-05-18,768,10
2021-05-19,752,10
2021-05-20,766,10
2021-05-21,573,10
2021-05-25,774,10
2021-05-26,775,10
2021-05-27,782,10
2021-05-28,699,10
2021-05-31,791,10
2021-06-01,810,10
2021-06-02,848,10
2021-06-03,808,10
2021-06-04,755,10
2021-06-07,805,10
2021-06-08,843,10
2021-06-09,863,10
2021-06-10,875,10
2021-06-11,789,10
2021-06-14,856,10
2021-06-15,930,10
2021-06-16,891,9
2021-06-17,471,6
2021-06-18,816,10
2021-06-21,890,10
2021-06-22,963,10
2021-06-23,917,10
2021-06-24,971,10
2021-06-25,825,10
2021-06-28,916,10
2021-06-29,966,10
2021-06-30,976,10
2021-07-02,594,10
2021-07-05,962,10
2021-07-06,1011,10
2021-07-07,1021,10
2021-07-08,981,10
2021-07-09,918,10
2021-07-12,1036,10
2021-07-13,1060,10
2021-07-14,1096,10
2021-07-15,1090,10
2021-07-16,984,10
2021-07-19,1056,10
2021-07-20,906,8
2021-07-21,1183,10
2021-07-22,1161,10
2021-07-23,1007,10
2021-07-26,1165,10
2021-07-27,1214,10
2021-07-28,1288,10
2021-07-29,1192,10
2021-07-30,1037,10
2021-08-03,1181,10
2021-08-04,1286,10
2021-08-05,1242,10
2021-08-06,1110,10
2021-08-09,1178,10
2021-08-10,1296,10
2021-08-11,1316,10
2021-08-12,1279,10
2021-08-13,1121,10
2021-08-16,1234,10
2021-08-17,1325,10
2021-08-18,1356,10
2021-08-19,1321,10
2021-08-20,1139,10
2021-08-23,1239,10
2021-08-24,1410,10
2021-08-25,1398,10
2021-08-26,1416,10
2021-08-27,1236,10
2021-08-30,1317,10
2021-08-31,1446,10
2021-09-01,1491,10
2021-09-02,1454,10
2021-09-03,1169,10
2021-09-07,1649,20
2021-09-08,1747,20
2021-09-09,1778,20
2021-09-10,1540,20
2021-09-13,1769,20
2021-09-14,2054,20
2021-09-15,2001,20
2021-09-16,1975,20
2021-09-17,1695,20
2021-09-20,1817,19
2021-09-21,2100,20
2021-09-22,2054,20
2021-09-23,2131,20
2021-09-24,1806,20
2021-09-27,1982,20
2021-09-28,2212,20
2021-09-29,2248,20
2021-09-30,1960,20
2021-10-01,1723,20
2021-10-04,1983,20
2021-10-05,2309,20
2021-10-06,2304,20
2021-10-07,2186,20
2021-10-08,1745,20
2021-10-12,2231,19
2021-10-13,2441,20
2021-10-14,2360,20
2021-10-15,1852,20
2021-10-18,2134,18
2021-10-19,2548,20
2021-10-20,2492,20
2021-10-21,2490,20
2021-10-22,1901,20
2021-10-25,2124,20
2021-10-26,2577,20
2021-10-27,2617,20
2021-10-28,2634,20
2021-10-29,1826,20
2021-11-01,2309,20
2021-11-02,2776,20
2021-11-03,2877,20
2021-11-04,2714,20
2021-11-05,2048,20
2021-11-08,2341,20
2021-11-09,2803,20
2021-11-10,2882,20
2021-11-11,2205,20
2021-11-12,1917,20
2021-11-15,2469,20
2021-11-16,2928,20
2021-11-17,2957,20
2021-11-18,2930,20
2021-11-19,2118,20
2021-11-22,2504,20
2021-11-23,2999,20
2021-11-24,3098,20
2021-11-25,2846,20
2021-11-26,2010,20
2021-11-29,2415,20
2021-11-30,2985,20
2021-12-01,3048,20
2021-12-02,2909,20
2021-12-03,2078,20
2021-12-06,2467,20
2021-12-07,2922,20
2021-12-08,2948,20
2021-12-09,2796,20
2021-12-10,2180,20
2021-12-13,2328,20
2021-12-14,2735,20
2021-12-15,2557,20
2021-12-16,2232,20
2021-12-17,1621,20
2021-12-20,1384,20
2021-12-21,1351,20
2021-12-22,1230,20
2021-12-23,1074,20
2021-12-24,572,16
2021-12-29,731,20
2021-12-30,659,20
2021-12-31,372,16
2022-01-04,1069,20
2022-01-05,970,20
2022-01-06,946,20
2022-01-07,826,20
2022-01-10,923,10
2022-01-11,900,10
