date,ridership Lakeshore East,total_train_trips Lakeshore East
2020-07-26,1711,36
2020-07-27,2419,45
2020-07-28,2723,45
2020-07-29,2655,45
2020-07-30,2891,45
2020-07-31,3167,47
2020-08-01,2503,36
2020-08-02,1502,36
2020-08-03,1626,37
2020-08-04,2732,45
2020-08-05,3039,44
2020-08-06,3235,45
2020-08-07,3332,45
2020-08-08,2532,36
2020-08-09,1973,36
2020-08-10,3063,45
2020-08-11,2956,45
2020-08-12,4618,45
2020-08-13,4650,45
2020-08-14,4795,45
2020-08-15,3133,36
2020-08-16,2275,36
2020-08-17,4261,45
2020-08-18,4784,45
2020-08-19,4834,45
2020-08-20,4878,45
2020-08-21,4895,45
2020-08-22,3053,37
2020-08-23,2524,37
2020-08-24,4478,46
2020-08-25,4865,45
2020-08-26,4969,45
2020-08-27,4829,45
2020-08-28,5066,44
2020-08-29,2890,36
2020-08-30,2525,36
2020-08-31,4849,46
2020-09-01,5106,45
2020-09-02,4857,45
2020-09-03,5430,45
2020-09-04,5371,45
2020-09-05,3144,38
2020-09-06,2677,38
2020-09-07,2061,38
2020-09-08,5026,66
2020-09-09,5359,66
2020-09-10,5416,65
2020-09-11,5687,66
2020-09-12,3082,38
2020-09-13,2102,38
2020-09-14,5129,66
2020-09-15,5267,66
2020-09-16,5431,66
2020-09-17,5385,66
2020-09-18,5387,66
2020-09-19,542,2
2020-09-20,1552,19
2020-09-21,5174,66
2020-09-22,5357,66
2020-09-23,5282,66
2020-09-24,5318,66
2020-09-25,5403,66
2020-09-26,2747,38
2020-09-27,2210,38
2020-09-28,4976,65
2020-09-29,5192,66
2020-09-30,5101,66
2020-10-01,5160,66
2020-10-02,4924,66
2020-10-03,2431,38
2020-10-04,1681,38
2020-10-05,4802,66
2020-10-06,4980,66
2020-10-07,4985,66
2020-10-08,5143,66
2020-10-09,4992,66
2020-10-10,2263,38
2020-10-11,1904,38
2020-10-12,1649,38
2020-10-13,4947,66
2020-10-14,4998,66
2020-10-15,4742,66
2020-10-16,4716,66
2020-10-17,2210,38
2020-10-18,1604,38
2020-10-19,4585,66
2020-10-20,4824,66
2020-10-21,4662,65
2020-10-22,4792,66
2020-10-23,4756,66
2020-10-24,1943,31
2020-10-25,1693,38
2020-10-26,4631,66
2020-10-27,4833,66
2020-10-28,4913,66
2020-10-29,4936,66
2020-10-30,4745,66
2020-10-31,2130,38
2020-11-01,1633,38
2020-11-02,4675,66
2020-11-03,4887,66
2020-11-04,4862,66
2020-11-05,5001,66
2020-11-06,4997,64
2020-11-07,1740,36
2020-11-08,1545,38
2020-11-09,4820,66
2020-11-10,5195,63
2020-11-11,4459,66
2020-11-12,5024,66
2020-11-13,4754,66
2020-11-14,2049,38
2020-11-15,1393,38
2020-11-16,4532,66
2020-11-17,4775,66
2020-11-18,4637,66
2020-11-19,3890,53
2020-11-20,4626,66
2020-11-21,1773,38
2020-11-22,1403,38
2020-11-23,3833,55
2020-11-24,4266,66
2020-11-25,4135,66
2020-11-26,4200,66
2020-11-27,3960,65
2020-11-28,1344,38
2020-11-29,1131,38
2020-11-30,3962,66
2020-12-01,4215,66
2020-12-02,4139,66
2020-12-03,4206,66
2020-12-04,3872,66
2020-12-05,1454,38
2020-12-06,1202,38
2020-12-07,4045,65
2020-12-08,4160,66
2020-12-09,4146,66
2020-12-10,4146,66
2020-12-11,3973,66
2020-12-12,1332,38
2020-12-13,1214,38
2020-12-14,4040,66
2020-12-15,4063,66
2020-12-16,4019,66
2020-12-17,4038,64
2020-12-18,3825,66
2020-12-19,1529,38
2020-12-20,1197,38
2020-12-21,3631,66
2020-12-22,3608,66
2020-12-23,3477,66
2020-12-24,2565,66
2020-12-25,1016,39
2020-12-26,950,38
2020-12-27,924,38
2020-12-28,1106,38
2020-12-29,2376,66
2020-12-30,2328,66
2020-12-31,2190,66
2021-01-01,697,38
2021-01-02,949,38
2021-01-03,851,38
2021-01-04,3267,66
2021-01-05,3390,66
2021-01-06,3421,66
2021-01-07,3416,66
2021-01-08,3251,66
2021-01-09,1111,38
2021-01-10,952,38
2021-01-11,3469,66
2021-01-12,3499,66
2021-01-13,3486,66
2021-01-14,3043,66
2021-01-15,2770,66
2021-01-16,785,38
2021-01-17,680,38
2021-01-18,2999,66
2021-01-19,3005,66
2021-01-20,2916,66
2021-01-21,3062,66
2021-01-22,2848,66
2021-01-23,821,38
2021-01-24,691,38
2021-01-25,3005,66
2021-01-26,3064,66
2021-01-27,2980,66
2021-01-28,2973,66
2021-01-29,2875,66
2021-01-30,904,38
2021-01-31,742,38
2021-02-01,3029,66
2021-02-02,3094,66
2021-02-03,3026,66
2021-02-04,3151,66
2021-02-05,2923,65
2021-02-06,924,38
2021-02-07,787,38
2021-02-08,3013,66
2021-02-09,3104,66
2021-02-10,3102,66
2021-02-11,3098,66
2021-02-12,2991,66
2021-02-13,1086,38
2021-02-14,920,38
2021-02-15,1081,38
2021-02-16,3282,66
2021-02-17,3433,64
2021-02-18,3503,66
2021-02-19,3372,66
2021-02-20,1266,38
2021-02-21,1072,38
2021-02-22,3385,66
2021-02-23,3408,63
2021-02-24,3441,66
2021-02-25,3474,66
2021-02-26,3552,66
2021-02-27,1325,38
2021-02-28,1120,38
2021-03-01,3442,66
2021-03-02,3518,66
2021-03-03,3610,66
2021-03-04,3576,65
2021-03-05,3522,66
2021-03-06,1257,38
2021-03-07,1205,38
2021-03-08,3605,66
2021-03-09,3827,66
2021-03-10,3866,66
2021-03-11,3909,66
2021-03-12,3852,65
2021-03-13,1627,38
2021-03-14,1208,38
2021-03-15,3635,66
2021-03-16,3699,65
2021-03-17,3844,66
2021-03-18,3778,66
2021-03-19,3735,66
2021-03-20,1794,38
2021-03-21,1441,38
2021-03-22,3823,66
2021-03-23,3932,67
2021-03-24,3827,66
2021-03-25,4063,66
2021-03-26,3633,66
2021-03-27,1740,38
2021-03-28,1199,39
2021-03-29,3903,66
2021-03-30,4159,66
2021-03-31,3944,66
2021-04-01,4087,66
2021-04-02,1320,38
2021-04-03,1203,38
2021-04-04,1284,38
2021-04-05,2963,66
2021-04-06,3746,66
2021-04-07,3688,66
2021-04-08,3482,66
2021-04-09,3270,66
2021-04-10,1215,38
2021-04-11,832,39
2021-04-12,3125,66
2021-04-13,3235,66
2021-04-14,3313,66
2021-04-15,3205,63
2021-04-16,3036,66
2021-04-17,974,38
2021-04-18,893,39
2021-04-19,2991,66
2021-04-20,2889,66
2021-04-21,2838,66
2021-04-22,3003,65
2021-04-23,2975,66
2021-04-24,1131,38
2021-04-25,891,38
2021-04-26,2994,66
2021-04-27,3064,66
2021-04-28,2949,66
2021-04-29,2967,65
2021-04-30,2988,66
2021-05-01,1135,38
2021-05-02,881,38
2021-05-03,3013,66
2021-05-04,2984,66
2021-05-05,3058,66
2021-05-06,3131,66
2021-05-07,2972,66
2021-05-08,1295,38
2021-05-09,1212,38
2021-05-10,3162,66
2021-05-11,3131,65
2021-05-12,3283,66
2021-05-13,3279,66
2021-05-14,3215,66
2021-05-15,1625,38
2021-05-16,1322,38
2021-05-17,3259,66
2021-05-18,3303,66
2021-05-19,3376,66
2021-05-20,3395,66
2021-05-21,3369,66
2021-05-22,1492,38
2021-05-23,1310,38
2021-05-24,1321,38
2021-05-25,3484,66
2021-05-26,3389,65
2021-05-27,3603,66
2021-05-28,3234,66
2021-05-29,1743,38
2021-05-30,1555,38
2021-05-31,3589,66
2021-06-01,3666,66
2021-06-02,3716,66
2021-06-03,3554,66
2021-06-04,3809,66
2021-06-05,2436,38
2021-06-06,1900,38
2021-06-07,3741,65
2021-06-08,3640,66
2021-06-09,3879,66
2021-06-10,4181,66
2021-06-11,4388,66
2021-06-12,2589,38
2021-06-13,1998,38
2021-06-14,3862,66
2021-06-15,4358,66
2021-06-16,4402,66
2021-06-17,4547,66
2021-06-18,4170,66
2021-06-19,2933,38
2021-06-20,2413,38
2021-06-21,4157,66
2021-06-22,4609,66
2021-06-23,4648,66
2021-06-24,4805,66
2021-06-25,4602,66
2021-06-26,2343,38
2021-06-27,2461,39
2021-06-28,4563,66
2021-06-29,4416,66
2021-06-30,5006,66
2021-07-01,2513,38
2021-07-02,3863,66
2021-07-03,3100,38
2021-07-04,2583,38
2021-07-05,4737,65
2021-07-06,4874,65
2021-07-07,4816,66
2021-07-08,4645,66
2021-07-09,5069,66
2021-07-10,3898,74
2021-07-11,2754,74
2021-07-12,4975,66
2021-07-13,5081,66
2021-07-14,5375,66
2021-07-15,5235,66
2021-07-16,5371,66
2021-07-17,3393,72
2021-07-18,3147,74
2021-07-19,5267,66
2021-07-20,5129,66
2021-07-21,6291,67
2021-07-22,5875,66
2021-07-23,6271,66
2021-07-24,3809,74
2021-07-25,3652,74
2021-07-26,5500,66
2021-07-27,5494,66
2021-07-28,6311,66
2021-07-29,5587,66
2021-07-30,7224,66
2021-07-31,4981,74
2021-08-01,4110,74
2021-08-02,4274,74
2021-08-03,6535,66
2021-08-04,6959,66
2021-08-05,7079,66
2021-08-06,7484,68
2021-08-07,6108,73
2021-08-08,4668,74
2021-08-09,6032,126
2021-08-10,6018,126
2021-08-11,6358,126
2021-08-12,6572,124
2021-08-13,7094,125
2021-08-16,6299,125
2021-08-17,6390,126
2021-08-18,6758,126
2021-08-19,6938,126
2021-08-20,8039,124
2021-08-21,5673,74
2021-08-22,4260,74
2021-08-23,7171,125
2021-08-24,7619,124
2021-08-25,7546,126
2021-08-26,7970,126
2021-08-27,7117,116
2021-08-28,4981,74
2021-08-29,3279,72
2021-08-30,7213,123
2021-08-31,7715,126
2021-09-01,8054,124
2021-09-02,8578,126
2021-09-03,8157,126
2021-09-04,5795,74
2021-09-05,4839,74
2021-09-06,3511,74
2021-09-07,7005,126
2021-09-08,7646,127
2021-09-09,7350,127
2021-09-10,8208,127
2021-09-11,4450,74
2021-09-12,3211,74
2021-09-13,7725,127
2021-09-14,8416,127
2021-09-15,8488,126
2021-09-16,7934,127
2021-09-17,8650,122
2021-09-18,5734,74
2021-09-19,4150,74
2021-09-20,7314,127
2021-09-21,7735,126
2021-09-22,7422,127
2021-09-23,7860,127
2021-09-24,9114,127
2021-09-25,4702,74
2021-09-26,3513,74
2021-09-27,7417,127
2021-09-28,9263,127
2021-09-29,9776,122
2021-09-30,9032,126
2021-10-01,9698,127
2021-10-02,5632,74
2021-10-03,4310,74
2021-10-04,7619,127
2021-10-05,8769,127
2021-10-06,8889,127
2021-10-07,8867,126
2021-10-08,8670,127
2021-10-09,4814,74
2021-10-10,4265,74
2021-10-11,4391,74
2021-10-12,8574,127
2021-10-13,10509,127
2021-10-14,8818,125
2021-10-15,8189,127
2021-10-16,5193,74
2021-10-17,3446,71
2021-10-18,8670,127
2021-10-19,8798,127
2021-10-20,9617,125
2021-10-21,8948,127
2021-10-22,9974,126
2021-10-23,5640,74
2021-10-24,4078,74
2021-10-25,8214,126
2021-10-26,8493,125
2021-10-27,9895,113
2021-10-28,9202,126
2021-10-29,9328,126
2021-10-30,5300,74
2021-10-31,3409,74
2021-11-01,8271,127
2021-11-02,9919,127
2021-11-03,9343,127
2021-11-04,10014,127
2021-11-05,8669,123
2021-11-06,1836,38
2021-11-07,1634,38
2021-11-08,9159,127
2021-11-09,9106,127
2021-11-10,9228,127
2021-11-11,8406,127
2021-11-12,9730,127
2021-11-13,4462,74
2021-11-14,2909,74
2021-11-15,8948,127
2021-11-16,10712,127
2021-11-17,9400,127
2021-11-18,10527,127
2021-11-19,9034,127
2021-11-20,4800,74
2021-11-21,3016,74
2021-11-22,8403,127
2021-11-23,9507,127
2021-11-24,9829,127
2021-11-25,10454,127
2021-11-26,8619,116
2021-11-29,2703,74
2021-11-30,3792,67
2021-12-01,4184,67
2021-12-02,4147,67
2021-12-03,3710,67
2021-12-04,1574,38
2021-12-05,2785,38
2021-12-06,7994,127
2021-12-07,10281,127
2021-12-08,10512,127
2021-12-09,10542,127
2021-12-10,8725,124
2021-12-11,1674,38
2021-12-12,1122,38
2021-12-13,8533,127
2021-12-14,8938,127
2021-12-15,8613,127
2021-12-16,8381,127
2021-12-17,7727,127
2021-12-18,4119,74
2021-12-19,3074,74
2021-12-20,6024,127
2021-12-21,6176,127
2021-12-22,5876,127
2021-12-23,5653,127
2021-12-24,3979,127
2021-12-25,1838,74
2021-12-26,2213,74
2021-12-27,2730,74
2021-12-28,3184,74
2021-12-29,3839,127
2021-12-30,4057,127
2021-12-31,3716,127
2022-01-01,1938,74
2022-01-02,2118,74
2022-01-03,2346,74
2022-01-04,4577,127
2022-01-05,4060,127
2022-01-06,4049,127
2022-01-07,3808,127
2022-01-08,1705,74
2022-01-09,1573,74
2022-01-10,3920,126
2022-01-11,3821,125
2022-01-12,4139,126
2022-01-13,4199,126
2022-01-14,4026,126
2022-01-15,1750,74
2022-01-16,1783,74
2022-01-17,1965,123
2022-01-18,3614,71
2022-01-19,4769,71
2022-01-20,4691,71
2022-01-21,4427,71
2022-01-22,2077,38
2022-01-23,1662,38
2022-01-24,4847,71
2022-01-25,4918,71
2022-01-26,4719,71
2022-01-27,5258,71
2022-01-28,4916,71
2022-01-29,2200,38
2022-01-30,1976,38
2022-01-31,5578,71
2022-02-01,6041,71
2022-02-02,5773,71
2022-02-03,5368,71
2022-02-04,5844,71
2022-02-05,3352,38
2022-02-06,2230,38
2022-02-07,6309,71
2022-02-08,6618,71
2022-02-09,6642,71
2022-02-10,6702,71
2022-02-11,6527,71
2022-02-12,3584,38
2022-02-13,2411,38
2022-02-14,6457,71
2022-02-15,6945,71
2022-02-16,6972,71
2022-02-17,7367,71
2022-02-18,6382,71
2022-02-19,4271,38
2022-02-20,3214,38
2022-02-21,3158,38
2022-02-22,7136,71
2022-02-23,7736,71
2022-02-24,8206,71
2022-02-25,7262,71
2022-02-26,3923,38
2022-02-27,3003,38
2022-02-28,7886,71
2022-03-01,9245,72
2022-03-02,9810,71
2022-03-03,9586,71
2022-03-04,9093,71
2022-03-05,6567,38
2022-03-06,3493,38
2022-03-07,8256,71
2022-03-08,10386,71
2022-03-09,10303,71
2022-03-10,10670,71
2022-03-11,9828,71
2022-03-12,4506,38
2022-03-13,3521,38
2022-03-14,8945,71
