date,ridership Stouffville OLD ELM GO,total_train_trips Stouffville OLD ELM GO
2020-11-13,259,5
2020-11-14,36,3
2020-11-15,18,3
2020-11-16,317,5
2020-11-17,311,5
2020-11-18,318,5
2020-11-19,306,5
2020-11-20,264,5
2020-11-21,31,3
2020-11-22,21,3
2020-11-23,276,5
2020-11-24,271,5
2020-11-25,247,5
2020-11-26,261,5
2020-11-27,224,5
2020-11-28,33,3
2020-11-29,18,3
2020-11-30,261,5
2020-12-01,295,5
2020-12-02,277,5
2020-12-03,262,5
2020-12-04,228,5
2020-12-05,27,3
2020-12-06,14,3
2020-12-07,253,5
2020-12-08,278,5
2020-12-09,252,5
2020-12-10,268,5
2020-12-11,243,5
2020-12-14,271,5
2020-12-15,276,5
2020-12-16,267,5
2020-12-17,263,5
2020-12-18,216,5
2020-12-19,31,3
2020-12-21,213,5
2020-12-22,212,5
2020-12-23,193,5
2020-12-24,110,5
2020-12-25,8,3
2020-12-26,7,3
2020-12-27,8,3
2020-12-28,17,3
2020-12-29,141,5
2020-12-30,140,5
2020-12-31,109,5
2021-01-01,8,3
2021-01-02,12,3
2021-01-03,8,3
2021-01-04,244,5
2021-01-05,240,5
2021-01-06,229,5
2021-01-07,229,5
2021-01-08,193,5
2021-01-09,14,3
2021-01-10,9,3
2021-01-11,239,5
2021-01-12,235,5
2021-01-13,228,5
2021-01-14,214,5
2021-01-15,185,5
2021-01-16,17,3
2021-01-17,8,3
2021-01-18,194,5
2021-01-19,200,5
2021-01-20,196,5
2021-01-21,198,5
2021-01-22,173,5
2021-01-25,187,4
2021-01-26,184,4
2021-01-27,182,4
2021-01-28,184,4
2021-01-29,163,4
2021-02-01,179,4
2021-02-02,190,4
2021-02-03,186,4
2021-02-04,183,4
2021-02-05,167,4
2021-02-08,178,4
2021-02-09,190,4
2021-02-10,197,4
2021-02-11,189,4
2021-02-12,152,4
2021-02-16,201,4
2021-02-17,206,4
2021-02-18,207,4
2021-02-19,165,4
2021-02-22,198,4
2021-02-23,217,4
2021-02-24,208,4
2021-02-25,208,4
2021-02-26,168,4
2021-03-01,201,4
2021-03-02,214,4
2021-03-03,198,4
2021-03-04,213,4
2021-03-05,173,4
2021-03-08,209,4
2021-03-09,221,4
2021-03-10,221,4
2021-03-11,222,4
2021-03-12,197,4
2021-03-15,204,4
2021-03-16,229,4
2021-03-17,218,4
2021-03-18,215,4
2021-03-19,206,4
2021-03-22,212,4
2021-03-23,234,4
2021-03-24,233,4
2021-03-25,235,4
2021-03-26,211,4
2021-03-29,225,4
2021-03-30,239,4
2021-03-31,235,4
2021-04-01,233,4
2021-04-05,148,4
2021-04-06,227,4
2021-04-07,223,4
2021-04-08,204,4
2021-04-09,179,4
2021-04-12,190,4
2021-04-13,191,4
2021-04-14,190,4
2021-04-15,188,4
2021-04-16,168,4
2021-04-19,175,4
2021-04-20,184,4
2021-04-21,174,4
2021-04-22,178,4
2021-04-23,152,4
2021-04-26,182,4
2021-04-27,184,4
2021-04-28,195,4
2021-04-29,198,4
2021-04-30,174,4
2021-05-03,197,4
2021-05-04,192,4
2021-05-05,199,4
2021-05-06,189,4
2021-05-07,170,4
2021-05-10,199,4
